round,ids
1,2.18357;3.08207
2,1.51953;4.75306
3,2.90107;3.03753
4,2.53257;2.63407
5,3.06357
7,2.46806;2.46857;2.59857
8,3.04157
9,1.28107;2.70657;2.80107
10,1.20203;3.32807;3.89007;3.89957;3.90457
11,2.07507;3.72606;3.73457
12,2.49857;2.49906;2.58656;3.66957
13,1.14508;2.59403;2.88353
14,1.44407;2.83707;3.33707;3.44903;3.98306
15,1.09757;3.00753;3.58807;3.61857;4.01557
16,2.08107;2.26903;3.20757
17,1.75603;3.90357
18,2.18157;2.18303
19,2.23403
20,2.40407;2.95753;3.14656
21,2.76507;2.81253
22,2.96203;2.96807;3.07703;3.38953
23,1.35953;1.57906;2.89157;2.89257;4.03357
24,1.62007;3.76856
25,1.58853;1.59607
26,1.72357;1.80557;3.93607
27,1.11157;3.49557;3.49907;3.56057
28,1.11607;2.60707;4.28406;4.36106
29,1.59406;3.23403;3.32557;3.43303;4.90157
30,1.09853;3.06507
31,1.19603;2.65353;2.65353;4.33056
32,2.93253;3.07607;3.24157;4.73157
33,1.10157;2.84707;2.96357
34,1.53507;2.96457;2.96607;4.45407
35,1.96203;3.58207;3.73503;3.73557
36,1.89653;1.89707
37,2.46103;2.68807;3.43857
38,1.13707;2.68007;2.78753;2.82257
39,1.57257;3.56407;3.73003;4.37157
40,2.10806;2.66207
41,1.62103;2.95953;3.13603;3.13653
42,1.14457;2.80706;3.02703;3.08457
43,1.42103;1.88606;3.04107
44,1.09903;2.54007;2.61657
45,2.36656;3.51156;3.92957;4.45307
46,1.26507;2.99003;2.99207;3.21507
47,1.44003;2.72357;2.72406
48,2.47107;2.47157;4.80407
49,1.65557;2.81503;3.89957
50,2.03506;2.17257;2.42206;3.03307
51,2.35403;2.35457;2.43907;4.53857
52,2.25657;2.32057;2.56657
53,1.03257;2.21957
54,1.86153;2.75807;2.79653;2.79753;4.37957
55,1.93407;1.97354;2.09607
56,1.49457;2.48007
57,2.48107
58,1.15757
59,1.12957;3.31757;3.40253;3.55857
60,1.53003;2.13657;3.16807;3.16807;3.23907
61,1.04807;2.24403;2.41507
62,1.10957;2.71557;2.87253
63,1.31907;2.13003;3.40457;3.65157
64,1.44457;1.64606;1.93803;2.02053
65,1.27353;1.53257;2.69957;2.70303;3.51407
66,1.01207;2.29357;2.54553;3.42407
68,1.38157;1.92456;2.37057
69,2.33857;2.57557;3.10807
70,1.02407
71,1.20807;2.95507;3.21057;4.56557
72,2.03907;3.30207;4.94753
73,1.44107;1.72253;1.98207
74,1.09157;2.26953;2.34307;2.80203
75,1.07957
76,1.01257;2.04307;4.57657;4.86057
77,1.29903;1.68707;1.68707
78,1.06403;2.66903;2.87658
79,1.85357;2.25057;2.62757
80,1.07257;1.76307
81,1.53957;1.65957;2.49307
82,1.46556;2.18707;2.18953;2.82457
83,2.18857;2.18907;2.18907;4.87157
84,1.74057
85,1.52507;1.55407;3.04656;3.38207;3.44107;3.55507
86,1.276;2.70651
87,1.0065;1.6695;1.67
88,1.0835
89,1.00546;1.78497;2.2215
90,1.206;1.449;2.85;3.049;3.831
91,2.59946;2.7025;2.8335
92,2.2765;2.287
93,1.08696;1.3465
94,1.1465;1.3915
95,1.139;1.363
96,1.0515;2.324;2.337;2.454
97,1.454;1.6965;3.5515
98,1.44996;1.7545;1.936;3.019
99,1.57246;1.67346;3.125;3.127;3.3545;3.49146
100,1.342;1.77804;2.66904;2.67004;2.793
