round,total_ul_rbg
1,21684
2,29191
3,34464
4,32130
5,41139
6,25962
7,34772
8,27008
9,53383
10,49077
11,38946
12,39931
13,42285
14,62152
15,50604
16,34917
17,32547
18,18399
19,47933
20,36534
21,29353
22,47336
23,48339
24,45017
25,39179
26,32945
27,50146
28,47536
29,49927
30,20258
31,37778
32,46715
33,43525
34,45956
35,51484
36,23748
37,39413
38,40838
39,51149
40,23677
41,41013
42,38578
43,31714
44,35144
45,51294
46,45117
47,37367
48,40880
49,50802
50,40979
51,42484
52,30204
53,31178
54,57138
55,37777
56,36005
57,31685
58,22065
59,53843
60,49192
61,29395
62,28913
63,44907
64,36597
65,49720
66,41228
67,10886
68,40308
69,35960
70,30793
71,48496
72,66957
73,40014
74,41217
75,9045
76,46652
77,27189
78,31641
79,32223
80,19065
81,34600
82,47598
83,43500
84,23221
85,54751
86,21667
87,26505
88,9038
89,29560
90,60539
91,34728
92,33717
93,19942
94,17898
95,17956
96,35846
97,29800
98,42012
99,55155
100,45852
