round,count
1,2127
2,4332
3,3527
4,3865
5,4364
6,2556
7,4151
8,2907
9,5014
10,6910
11,5273
12,5048
13,3934
14,6903
15,6165
16,3936
17,3023
18,2360
19,5040
20,3964
21,3770
22,6934
23,4768
24,4554
25,4024
26,3049
27,6608
28,4242
29,5064
30,1681
31,4182
32,5146
33,4180
34,4970
35,6779
36,2415
37,3905
38,4667
39,6073
40,2683
41,5001
42,4641
43,2268
44,3568
45,5678
46,5002
47,4319
48,4576
49,4650
50,3395
51,4275
52,3270
53,2596
54,6029
55,3258
56,3066
57,2672
58,1537
59,6610
60,5735
61,2926
62,2801
63,3546
64,3642
65,4212
66,4076
67,639
68,3131
69,3638
70,2711
71,4941
72,6930
73,3132
74,3444
75,501
76,3747
77,2388
78,3493
79,2741
80,1288
81,3103
82,4233
83,3928
84,1929
85,6783
86,1202
87,2205
88,478
89,1870
90,5216
91,2864
92,2574
93,1161
94,933
95,927
96,3816
97,2409
98,3308
99,6197
100,4550
