round,total_tbSize
1,1957352
2,2621221
3,3231928
4,3096920
5,4279740
6,2828546
7,3461851
8,2933296
9,5191742
10,4522889
11,3734492
12,3865784
13,4080702
14,5796862
15,4733767
16,3302824
17,3156673
18,1645927
19,5121421
20,3366725
21,2770562
22,4507993
23,4516876
24,4302838
25,3907340
26,3256679
27,4798861
28,4650046
29,4520017
30,1978380
31,3484415
32,4551390
33,4225110
34,4231348
35,4785781
36,2301191
37,3892460
38,3758352
39,4851294
40,2325130
41,3762951
42,3473187
43,2988260
44,3302474
45,4932058
46,4172835
47,3582588
48,3980001
49,4909028
50,3963869
51,4193257
52,2851908
53,3048803
54,5525210
55,3702597
56,3456128
57,3224306
58,2230314
59,5094747
60,4490858
61,2771061
62,2636929
63,4381477
64,3347216
65,4582896
66,3816495
67,1073407
68,3942400
69,3351723
70,2678080
71,4496755
72,6433523
73,3698715
74,3851591
75,803401
76,4555738
77,2619443
78,2970740
79,2983794
80,1693744
81,3429296
82,4610137
83,4399477
84,2349483
85,4921208
86,2073474
87,2365279
88,802282
89,2742179
90,5717003
91,3718560
92,3484049
93,1815803
94,1603359
95,1602292
96,3206156
97,2935080
98,3871416
99,4989211
100,4205005
