round,total_numsym
1,24390
2,50204
3,39946
4,45015
5,50356
6,29834
7,48731
8,33597
9,58232
10,80922
11,60831
12,59041
13,45924
14,80281
15,71867
16,45126
17,35222
18,27342
19,57994
20,45963
21,43875
22,80637
23,55867
24,52587
25,47132
26,35728
27,76127
28,49089
29,59366
30,19522
31,48889
32,59690
33,48423
34,57444
35,79198
36,28272
37,44801
38,54585
39,70115
40,31114
41,58398
42,54177
43,26592
44,41753
45,65582
46,58531
47,50470
48,53239
49,53755
50,39789
51,49803
52,38271
53,30005
54,69651
55,37394
56,35230
57,30876
58,17911
59,76538
60,67203
61,33900
62,32769
63,41167
64,42574
65,49289
66,46702
67,7511
68,36543
69,42077
70,31545
71,57635
72,78594
73,36564
74,40135
75,5906
76,43681
77,28024
78,40349
79,31950
80,15142
81,36311
82,49049
83,45250
84,22464
85,79697
86,14100
87,25931
88,5625
89,21929
90,60637
91,33115
92,30015
93,13503
94,10963
95,10897
96,44831
97,28071
98,38508
99,72580
100,53425
