round,ndi0_count,ndi1_count
1,88,2039
2,195,4137
3,337,3190
4,313,3552
5,703,3661
6,535,2021
7,253,3898
8,571,2336
9,402,4612
10,145,6765
11,490,4783
12,203,4845
13,283,3651
14,307,6596
15,292,5873
16,284,3652
17,380,2643
18,87,2273
19,805,4235
20,257,3707
21,317,3453
22,315,6619
23,152,4616
24,456,4098
25,307,3717
26,249,2800
27,534,6074
28,406,3836
29,93,4971
30,203,1478
31,130,4052
32,350,4796
33,409,3771
34,323,4647
35,241,6538
36,139,2276
37,404,3501
38,122,4545
39,453,5620
40,339,2344
41,218,4783
42,196,4445
43,129,2139
44,220,3348
45,387,5291
46,281,4721
47,299,4020
48,418,4158
49,393,4257
50,199,3196
51,353,3922
52,137,3133
53,310,2286
54,434,5595
55,366,2892
56,332,2734
57,488,2184
58,199,1338
59,384,6226
60,132,5603
61,228,2698
62,121,2680
63,298,3248
64,105,3537
65,128,4084
66,232,3844
67,69,570
68,264,2867
69,289,3349
70,393,2318
71,296,4645
72,688,6242
73,342,2790
74,172,3272
75,2,499
76,327,3420
77,113,2275
78,229,3264
79,159,2582
80,33,1255
81,260,2843
82,378,3855
83,463,3465
84,207,1722
85,37,6746
86,87,1115
87,0,2205
88,0,478
89,78,1792
90,322,4894
91,413,2451
92,418,2156
93,55,1106
94,4,929
95,0,927
96,8,3808
97,204,2205
98,147,3161
99,85,6112
100,73,4477
