round,total_ul_rbg
1,60936
2,47004
3,37825
4,33928
5,26662
6,25656
7,26637
8,27148
9,26834
10,26205
11,26130
12,25675
13,25923
14,26165
15,25765
16,25163
17,26470
18,24874
19,27933
20,24704
21,25228
22,26181
23,25494
24,26315
25,26288
26,25035
27,27560
28,25182
29,25485
30,25855
31,25052
32,26168
33,25644
34,25585
35,26050
36,25087
37,26212
38,24788
39,26643
40,25213
41,25902
42,24726
43,24087
44,25492
45,27034
46,24791
47,25486
48,25357
49,22617
50,15093
51,15533
52,15253
53,14174
54,15338
55,15424
56,14743
57,15296
58,14173
59,15504
60,14704
61,14775
62,14475
63,14683
64,15036
65,14800
66,15156
67,14035
68,15674
69,15045
70,14379
71,15096
72,15934
73,15092
74,15042
75,14119
76,14860
77,14991
78,14945
79,14219
80,13996
81,15378
82,15320
83,15481
84,14764
85,11556
86,14048
87,14405
88,13767
89,14373
90,14553
91,14730
92,15315
93,14475
94,14408
95,13746
96,14220
97,15163
98,15346
99,10827
100,14359
