round,total_numsym
1,88774
2,72838
3,66995
4,77330
5,79203
6,72775
7,67161
8,39127
9,98292
10,80816
11,81602
12,87443
13,54008
14,70067
15,59957
16,58624
17,53130
18,71670
19,90015
20,72164
21,62311
22,78163
23,59446
24,58038
25,86586
26,42757
27,72825
28,87541
29,65074
30,32240
31,90947
32,67588
33,66343
34,86867
35,76590
36,72199
37,56133
38,58828
39,76887
40,64839
41,76359
42,68954
43,77591
44,69080
45,65844
46,92746
47,52989
48,74019
49,46117
50,91487
51,71360
52,57775
53,68072
54,87442
55,86978
56,59301
57,78041
58,79149
59,48328
60,63727
61,75666
62,56686
63,35469
64,72581
65,73120
66,68318
67,61718
68,91462
69,76920
70,78644
71,88255
72,79223
73,25460
74,76907
75,79949
76,33750
77,53619
78,63395
79,53273
80,49585
81,67448
82,55269
83,70586
84,65334
85,69927
86,75579
87,80141
88,38726
89,77521
90,72863
91,37950
92,32908
93,74485
94,54560
95,52217
96,52065
97,32307
98,52538
99,71881
100,93837
