round,success_count
1,6
2,5
3,6
4,6
5,5
6,4
7,6
8,2
9,6
10,5
11,6
12,5
13,5
14,5
15,4
16,5
17,4
18,4
19,6
20,6
21,5
22,5
23,5
24,5
25,6
26,4
27,5
28,6
29,5
30,4
31,6
32,5
33,4
34,6
35,6
36,5
37,5
38,5
39,6
40,5
41,6
42,6
43,6
44,6
45,5
46,6
47,5
48,4
49,4
50,6
51,6
52,4
53,5
54,6
55,6
56,5
57,6
58,5
59,3
60,6
61,6
62,5
63,4
64,6
65,6
66,6
67,5
68,6
69,6
70,6
71,6
72,6
73,3
74,6
75,5
76,4
77,5
78,5
79,4
80,4
81,6
82,5
83,6
84,5
85,5
86,6
87,6
88,4
89,6
90,6
91,4
92,3
93,6
94,4
95,5
96,5
97,4
98,4
99,6
100,6
