round,avg_ul_mcs
1,27.8181
2,27.752
3,27.6208
4,27.7719
5,27.6918
6,27.7516
7,27.675
8,27.3452
9,27.8422
10,27.6531
11,27.8785
12,27.8473
13,27.731
14,27.5801
15,27.7365
16,27.3931
17,27.248
18,27.4852
19,27.8518
20,27.8849
21,27.7652
22,27.702
23,27.8671
24,27.578
25,27.7801
26,27.3579
27,27.7466
28,27.7931
29,27.8227
30,27.6548
31,27.8321
32,27.7608
33,27.7285
34,27.88
35,27.8711
36,27.8581
37,27.8059
38,27.7468
39,27.786
40,27.7744
41,27.8067
42,27.8569
43,27.8939
44,27.9038
45,27.6574
46,27.8332
47,27.8458
48,27.5124
49,26.8584
50,27.8224
51,27.8562
52,27.587
53,27.8536
54,27.7713
55,27.8683
56,27.8055
57,27.7893
58,27.7781
59,27.564
60,27.8293
61,27.8913
62,27.9284
63,27.6761
64,27.7613
65,27.8304
66,27.8515
67,27.6755
68,27.8399
69,27.8723
70,27.8409
71,27.8882
72,27.8714
73,27.67
74,27.8061
75,27.8466
76,27.4291
77,27.7402
78,27.7665
79,27.7155
80,27.5181
81,27.653
82,27.8634
83,27.7668
84,27.8487
85,27.7172
86,27.8868
87,27.8524
88,27.776
89,27.737
90,27.871
91,27.8259
92,27.6228
93,27.8007
94,27.8449
95,27.7477
96,27.6754
97,27.5853
98,27.6279
99,27.7941
100,27.8948
