round,ids
1,1.87407;4.09007;4.10607;4.18657;4.21007;4.52253
2,1.55454;3.471;3.47153;3.56104;3.95904
3,1.16154;2.73504;3.06253;3.15354;4.08004;4.30003
4,1.629;1.6455;3.29611;3.30946;3.4315;4.2445
5,1.9695;3.8355;3.851;3.909;4.0335
6,2.092;3.305;3.409;3.412
7,1.198;1.6765;3.102;3.10297;3.2275;4.9035
8,1.5695;2.801
9,1.1575;2.84147;3.5425;3.55346;3.57;3.7075
10,1.0735;2.55546;3.106;3.11046;3.1125
11,1.9025;2.333;2.357;2.3685;3.431;3.431
12,3.006;3.0875;3.1595;3.1625;3.28846
13,1.0125;2.2625;2.26346;3.39296;3.533
14,1.094;2.85496;3.24446;3.2845;4.97046
15,1.29396;2.9045;2.906;3.04196
16,1.6665;2.6215;2.91796;2.91846;3.75
17,1.11846;2.7625;2.9545;4.1575
18,1.643;1.706;3.0315;3.03246
19,1.0875;2.529;3.175;3.1975;3.2025;3.2415
20,1.264;1.44946;3.076;3.076;3.26147;3.3535
21,1.0655;2.8565;2.85896;2.998;3.34996
22,1.0705;2.9315;3.41796;3.433;3.43746
23,1.81146;1.9855;2.01146;2.458;2.4585
24,1.3745;2.9995;3.14796;3.388;4.049
25,1.8765;2.086;2.086;3.66846;3.6875;3.6885
26,1.5895;1.60847;2.51147;4.2365
27,1.087;3.01396;3.61196;3.61996;3.686
28,1.519;2.6705;3.4065;3.408;3.52946;3.639
29,1.65946;1.697;3.008;3.00896;3.047
30,1.2125;1.43396;2.407;2.733
31,1.1455;2.726;3.3335;3.345;3.463;3.463
32,1.399;3.071;3.0725;3.177;4.305
33,1.3345;2.9745;3.3425;4.0605
34,1.0595;2.698;3.3035;3.3035;3.335;3.48946
35,1.81304;1.84404;1.96504;3.25754;3.25904;3.29804
36,1.3605;1.4565;3.323;3.3685;4.143
37,1.8545;2.115;2.397;2.3985;3.0985
38,1.0905;2.57896;2.59046;2.7155;4.398
39,1.375;1.723;3.14796;3.14797;3.3245;3.3245
40,1.5915;1.8175;3.621;3.631;4.1455
41,1.52446;1.56496;3.305;3.325;3.3255;3.8615
42,1.5565;1.91296;1.91346;3.146;3.3575;3.3695
43,1.4625;1.4635;2.97547;2.99047;3.23;3.23
44,1.625;1.9385;1.9635;3.179;3.36696;3.3715
45,1.496;1.51;2.90697;3.14301;4.866
46,1.0525;2.4955;3.1585;3.2065;3.207;3.21947
47,1.31254;1.47804;2.73654;2.73754;2.95354
48,2.6745;3.14954;3.29554;3.2985
49,1.83104;2.212;2.80254;4.24303
50,1.08504;2.51604;3.2115;3.21204;3.23004;3.23004
51,1.446;1.579;2.9725;3.341;3.35;4.54
52,1.794;2.9445;3.0615;3.14396
53,1.062;2.789;2.8265;2.9035;3.753
54,1.781;2.84796;3.465;3.477;3.58446;3.58447
55,1.03253;2.46553;3.14353;3.14404;3.20553;3.71803
56,1.426;1.438;2.679;2.68146;2.73446
57,1.508;1.56847;3.112;3.112;3.31396;3.31397
58,1.08303;3.342;3.35254;3.36253;3.71253
59,1.045;2.78003;2.98803
60,1.476;1.79903;2.0945;3.18504;3.39053;3.39053
61,1.7095;1.83747;3.112;3.276;3.27997;3.3825
62,1.7895;2.2305;2.77847;2.77896;4.325
63,1.113;2.10496;2.1065;2.6805
64,1.51496;1.53;3.124;3.1385;3.265;4.8235
65,1.80096;2.1035;3.2905;3.51547;3.5165;3.83396
66,1.19254;1.4135;3.17153;3.61204;3.6325;3.85354
67,1.12696;2.6155;2.6175;3.702;4.595
68,2.49047;2.5665;2.6145;2.6395;3.6665;3.67997
69,1.07553;2.50253;3.0435;3.06253;3.06903;3.41153
70,1.3315;1.46147;3.0425;3.215;3.299;3.3035
71,1.0215;2.444;3.078;3.078;3.1425;3.1425
72,1.516;1.52746;3.10096;3.10096;3.30996;4.278
73,1.50496;2.133;2.9025
74,1.41046;1.50796;3.06646;3.0675;3.29;3.29
75,1.0515;2.6995;3.3155;3.3155;3.341
76,1.30947;1.4695;2.36997;3.565
77,1.251;1.47947;2.734;2.749;2.7845
78,1.991;2.0255;2.082;3.1095;3.11
79,1.0835;2.297;2.3115;2.36597
80,1.119;2.4805;2.57;2.609
81,1.4155;1.61697;3.16497;3.16897;3.30147;3.8815
82,1.6445;1.90346;2.4645;2.471;2.5175
83,1.4005;1.5415;3.10997;3.11246;3.205;3.533
84,1.04196;2.6025;2.6035;2.8115;2.8115
85,1.375;2.1375;3.1095;3.127;3.355
86,1.8335;1.918;3.25147;3.413;4.3995;4.7285
87,1.27446;3.055;3.055;3.2945;3.2945;4.22646
88,1.50654;2.35553;2.37504;3.29954
89,0.9825;2.382;2.92604;2.93004;2.936;3.28304
90,1.93696;2.01296;2.559;2.647;3.1845;3.1845
91,1.6635;1.864;1.9415;2.9425
92,1.4585;1.4585;1.833
93,1.8335;2.174;2.292;2.3175;3.237;3.237
94,1.0515;2.516;2.516;2.5895
95,1.1245;1.362;2.55046;2.55146;2.6125
96,1.5135;1.7535;1.8695;2.818;2.83296
97,1.098;1.334;1.93;1.9435
98,1.3585;1.4685;2.5625;2.5635
99,1.81;1.88096;1.98246;3.046;3.249;3.2535
100,1.01046;2.476;3.13346;3.13346;3.1565;3.157
