round,total_tbSize
1,5630684
2,4864061
3,6039388
4,5194510
5,5073267
6,6019779
7,5604819
8,3767844
9,5637027
10,5461761
11,5053253
12,4939104
13,4566520
14,5431914
15,4382197
16,4751070
17,4503624
18,5925490
19,4985203
20,4986914
21,4501661
22,5301926
23,4161534
24,5107129
25,6207189
26,4356907
27,4801008
28,5600981
29,4808469
30,3699347
31,4918449
32,5159486
33,5945405
34,5014808
35,4960064
36,5758597
37,4583139
38,4533176
39,5076818
40,5111566
41,5391165
42,4937152
43,4861852
44,4965300
45,5546624
46,4913805
47,4268506
48,5351651
49,4766146
50,4887414
51,5062060
52,4677691
53,4398017
54,5246452
55,5180139
56,4060553
57,4914706
58,4550008
59,4240539
60,5170145
61,5398751
62,4847736
63,3684973
64,5390898
65,5619424
66,5395034
67,5207872
68,5115504
69,5110700
70,5054622
71,4859519
72,5421122
73,3243662
74,4948081
75,5218386
76,3701768
77,4091440
78,4189975
79,4083394
80,4000588
81,5465819
82,4398366
83,5188234
84,4041275
85,5726234
86,6178959
87,5583746
88,3852502
89,5143452
90,5635525
91,3711342
92,3195215
93,5013261
94,3752096
95,4100687
96,4257536
97,3297161
98,4126389
99,4949246
100,4849470
