round,total_ul_rbg
1,34442
2,26483
3,14576
4,13724
5,16232
6,17172
7,15915
8,16415
9,12260
10,15838
11,11593
12,16039
13,16402
14,16496
15,14942
16,15134
17,15980
18,15838
19,10201
20,10513
21,15034
22,15120
23,15201
24,14941
25,12579
26,16268
27,15183
28,11122
29,15170
30,14887
31,11612
32,16322
33,16207
34,10655
35,10361
36,15657
37,14930
38,14825
39,10840
40,15560
41,12716
42,10516
43,9715
44,10736
45,16639
46,10262
47,15044
48,16028
49,16730
50,9491
51,15129
52,15192
53,14532
54,11604
55,11801
56,15184
57,10283
58,15989
59,15328
60,10762
61,11240
62,16444
63,14751
64,14754
65,13003
66,13701
67,15581
68,11858
69,10716
70,10498
71,9446
72,14519
73,15117
74,10373
75,15220
76,15709
77,15003
78,15965
79,15068
80,15122
81,12106
82,15038
83,11548
84,15440
85,15779
86,15569
87,13366
88,11966
89,4343
90,4952
91,6643
92,6961
93,4414
94,6625
95,6595
96,6784
97,6678
98,6889
99,4696
100,4422
