round,avg_ul_mcs
1,27.1921
2,27.0122
3,27.2528
4,26.8768
5,27.4495
6,27.6948
7,27.6947
8,27.0198
9,27.7444
10,27.3855
11,27.2438
12,27.3895
13,27.4769
14,26.9984
15,26.9997
16,27.2245
17,27.3035
18,27.5209
19,27.1772
20,27.2154
21,27.1635
22,27.3211
23,26.9473
24,27.684
25,27.4371
26,27.8049
27,26.249
28,27.7609
29,27.3286
30,26.973
31,27.3893
32,26.9471
33,26.8984
34,27.3718
35,27.3965
36,26.8889
37,27.4245
38,25.7163
39,27.4004
40,27.6296
41,27.5691
42,27.4031
43,27.6146
44,27.622
45,27.7119
46,26.7431
47,27.4363
48,27.0631
49,27.3382
50,27.2512
51,27.226
52,27.4368
53,27.3958
54,27.6938
55,27.7299
56,26.0897
57,27.2943
58,27.7952
59,26.4356
60,26.926
61,27.7989
62,27.5936
63,27.3924
64,27.4572
65,27.6851
66,27.5139
67,27.5387
68,27.6093
69,27.7145
70,27.1019
71,27.3247
72,27.4047
73,27.7483
74,27.4532
75,27.527
76,26.5932
77,27.3207
78,26.8772
79,27.4113
80,26.602
81,27.0071
82,26.9704
83,27.0201
84,27.3797
85,27.3993
86,27.4337
87,27.4752
88,26.6832
89,27.6878
90,27.7414
91,27.6083
92,27.0291
93,27.5537
94,27.779
95,27.7106
96,27.7055
97,27.8046
98,27.6512
99,27.36
100,27.2768
