round,total_numsym
1,44771
2,41789
3,39005
4,54014
5,60123
6,68605
7,69714
8,28425
9,67115
10,57214
11,40514
12,57517
13,18301
14,42856
15,34057
16,58611
17,55181
18,60611
19,47312
20,50681
21,36380
22,38343
23,50359
24,57357
25,33768
26,54032
27,37662
28,67458
29,45040
30,27311
31,35581
32,45775
33,54808
34,36988
35,37147
36,34062
37,57876
38,26937
39,37079
40,57933
41,49042
42,26671
43,25796
44,55264
45,26511
46,45301
47,29609
48,22621
49,39961
50,30602
51,47407
52,41905
53,46328
54,59914
55,38021
56,14517
57,64836
58,66051
59,29478
60,28445
61,41313
62,28167
63,47589
64,80207
65,60014
66,57963
67,67024
68,45474
69,61700
70,6229
71,34415
72,30490
73,53173
74,22005
75,43688
76,32598
77,32521
78,24443
79,59354
80,27217
81,16599
82,28383
83,40218
84,28423
85,46994
86,33844
87,41580
88,36418
89,40266
90,34138
91,49797
92,29034
93,27014
94,60551
95,39406
96,64212
97,41797
98,38207
99,41934
100,34300
