round,total_ul_rbg
1,50159
2,47990
3,48316
4,48777
5,47316
6,49122
7,45330
8,39366
9,40426
10,42489
11,40753
12,33199
13,26657
14,27599
15,27617
16,28833
17,27965
18,28365
19,27297
20,27969
21,29442
22,28213
23,28358
24,28066
25,27931
26,28192
27,28043
28,28392
29,29037
30,26819
31,28374
32,28424
33,29611
34,26777
35,27424
36,27742
37,28511
38,28020
39,26441
40,28349
41,27920
42,26432
43,26556
44,28618
45,26299
46,28309
47,26927
48,26069
49,28350
50,26927
51,28131
52,27845
53,28157
54,27673
55,27168
56,27534
57,29164
58,28222
59,27780
60,27154
61,26636
62,26408
63,27413
64,27937
65,28333
66,27829
67,28238
68,27430
69,27840
70,26418
71,27558
72,28572
73,28913
74,26868
75,27153
76,27312
77,27784
78,27362
79,28596
80,27565
81,25488
82,27261
83,28341
84,27701
85,27840
86,27698
87,27276
88,27162
89,26856
90,27339
91,27377
92,27964
93,26982
94,27175
95,27241
96,28842
97,27585
98,26890
99,26722
100,27946
