round,total_ul_rbg
1,14171
2,18729
3,29960
4,26610
5,36628
6,42278
7,53358
8,33108
9,48029
10,37631
11,35460
12,47414
13,33285
14,30026
15,37117
16,46038
17,39161
18,44653
19,30886
20,36916
21,17776
22,36657
23,37454
24,43085
25,41413
26,49796
27,33305
28,51083
29,35762
30,41556
31,31749
32,40033
33,37202
34,31582
35,28999
36,20320
37,45354
38,23119
39,33522
40,36809
41,45345
42,44400
43,29349
44,38531
45,38220
46,24691
47,18819
48,28530
49,37298
50,43193
51,34683
52,41986
53,46811
54,54348
55,39719
56,21821
57,48049
58,47970
59,25180
60,38359
61,51489
62,31902
63,29623
64,50918
65,53225
66,44205
67,50516
68,39217
69,49143
70,19935
71,42137
72,36727
73,42252
74,23046
75,35519
76,30793
77,23064
78,25431
79,51367
80,32651
81,32217
82,23912
83,30656
84,20389
85,43825
86,36087
87,34802
88,26855
89,56524
90,30167
91,39870
92,23239
93,22277
94,40233
95,43161
96,55245
97,41363
98,39071
99,40733
100,32414
