round,total_tbSize
1,1145539
2,1610701
3,2901725
4,2511771
5,3350448
6,3847803
7,4789428
8,3162801
9,4536783
10,3536287
11,3371979
12,4376993
13,3452588
14,2873989
15,3717704
16,4221550
17,3784402
18,4112897
19,2734857
20,3428909
21,1706827
22,3456675
23,3579614
24,4035922
25,4160590
26,4734078
27,3333599
28,4659125
29,3340500
30,4009415
31,2956013
32,3910055
33,3551726
34,3031883
35,2662141
36,2083844
37,4314807
38,2213660
39,3065977
40,3296836
41,4289334
42,4363055
43,2718240
44,3525849
45,3613561
46,2361975
47,1685116
48,2779772
49,3511877
50,4252485
51,3422514
52,4358584
53,4543403
54,5041793
55,3710927
56,2375534
57,4765840
58,4416267
59,2360862
60,3695882
61,4895230
62,3114996
63,2894148
64,4665587
65,4884899
66,4129090
67,4626518
68,3628400
69,4423619
70,1921758
71,3876564
72,3644051
73,4064895
74,2174418
75,3406034
76,3152953
77,2335565
78,2534092
79,4794319
80,3161814
81,3063387
82,2196394
83,2939605
84,1873547
85,4419663
86,3445352
87,3390651
88,2554400
89,5281195
90,2732193
91,3690660
92,2652811
93,2246988
94,3653075
95,4032591
96,5086780
97,3977394
98,3764589
99,3795905
100,3001420
