round,ndi0_count,ndi1_count
1,275,3111
2,227,5641
3,439,4258
4,672,4848
5,437,4233
6,345,2654
7,173,4869
8,170,947
9,243,5063
10,7,5779
11,35,2756
12,252,4293
13,627,5180
14,141,6462
15,243,6663
16,238,4118
17,554,3763
18,354,3546
19,343,3205
20,169,2078
21,315,3112
22,420,4902
23,356,7047
24,352,3875
25,371,4853
26,289,3794
27,204,4334
28,58,2481
29,142,6159
30,55,827
31,437,5684
32,276,4789
33,226,2518
34,56,2652
35,101,4928
36,61,1383
37,170,3549
38,217,4383
39,308,4210
40,317,3395
41,89,3937
42,127,4297
43,429,3870
44,522,4897
45,365,4084
46,110,4025
47,175,3054
48,723,4740
49,367,3582
50,397,4776
51,304,3514
52,56,1944
53,169,2436
54,51,2990
55,270,3238
56,210,3197
57,423,2127
58,402,3911
59,169,3032
60,33,4703
61,148,3230
62,188,2905
63,267,3071
64,257,5230
65,101,4165
66,58,3132
67,319,1935
68,25,1517
69,169,1962
70,170,2287
71,237,4107
72,271,4100
73,99,2325
74,212,4065
75,220,2074
76,268,3937
77,257,3174
78,209,3337
79,506,2973
80,35,1627
81,320,3809
82,355,4559
83,40,2242
84,110,1463
85,27,5307
86,50,900
87,245,3253
88,180,1297
89,240,3048
90,63,3754
91,53,1126
92,27,660
93,162,2082
94,333,3412
95,357,4307
96,80,3088
97,489,4651
98,399,5108
99,115,8117
100,85,3783
