round,total_numsym
1,39133
2,68203
3,54640
4,62743
5,54173
6,34847
7,58599
8,12971
9,60723
10,67092
11,32569
12,53219
13,66570
14,77094
15,80422
16,50864
17,50033
18,45138
19,41008
20,26327
21,39666
22,61084
23,86538
24,49219
25,59945
26,47524
27,52965
28,29664
29,73641
30,10325
31,70763
32,59052
33,31948
34,31851
35,58997
36,16879
37,43475
38,53345
39,52657
40,43021
41,47245
42,51449
43,49786
44,62511
45,52099
46,48531
47,37940
48,62271
49,45754
50,60038
51,44529
52,23416
53,30431
54,35664
55,40494
56,39536
57,29677
58,50078
59,37489
60,55669
61,39595
62,36090
63,38657
64,63939
65,50097
66,37261
67,26237
68,18140
69,24863
70,28828
71,50696
72,51012
73,28050
74,50097
75,26706
76,48949
77,40029
78,41372
79,40092
80,19497
81,47877
82,57322
83,26675
84,18439
85,62646
86,11161
87,40965
88,17242
89,38372
90,44841
91,13841
92,8053
93,26347
94,43291
95,54217
96,37113
97,59671
98,63781
99,96422
100,45403
