flow_id,src,sport,dst,dport,start,end,active_s,tx_kbit_s,rx_kbit_s,throughput_kbit_s,mean_delay_ms,mean_jitter_ms,packet_loss_pct,delivery_ratio_pct,tx_pkts,rx_pkts,tx_bytes,rx_bytes
503,7.0.0.114,49154,1.0.0.2,9,226.063,231,4.93699,1186.53,1186.53,1186.53,37.8817,1.39354,0,100,966,966,732236,732236
505,7.0.0.80,49154,1.0.0.2,9,226.138,0,0,0,0,0,0,0,100,0,3,0,164,0
506,7.0.0.23,49153,1.0.0.2,9,226.16,230.868,4.7085,180.474,118.798,118.798,13.0471,2.94348,4.92126,95.0787,508,483,106220,69920
508,7.0.0.43,49155,1.0.0.2,9,226.191,231.001,4.80999,1215.96,1215.96,1215.96,28.0517,1.26098,0,100,944,944,731092,731092
510,7.0.0.109,49154,1.0.0.2,9,230.999,236,5.00096,1157.71,1157.71,1157.71,17.9739,0.932205,0,100,802,802,723708,723708
511,7.0.0.104,49156,1.0.0.2,9,231,0,0,0,0,0,0,0,100,0,3,0,164,0
513,7.0.0.58,49156,1.0.0.2,9,231.079,234.866,3.787,1435.08,1321.59,1321.59,10.2385,2.38117,4.54545,95.4545,814,777,679332,625608
515,7.0.0.26,49154,1.0.0.2,9,231.167,0,0,0,0,0,0,0,100,0,3,0,164,0
516,7.0.0.138,49154,1.0.0.2,9,231.173,236,4.82696,1213.84,1213.84,1213.84,26.6709,1.3407,0,100,969,969,732392,732392
517,7.0.0.28,49157,1.0.0.2,9,231.176,236,4.82396,1214.59,1214.59,1214.59,28.4273,1.30765,0,100,969,969,732392,732392
520,7.0.0.89,49153,1.0.0.2,9,236.03,241.917,5.88746,1077.1,990.222,990.222,13.9645,4.04323,4.75185,95.2482,947,902,792676,728736
522,7.0.0.145,49156,1.0.0.2,9,236.053,241,4.94696,1184.14,1184.14,1184.14,38.3297,1.21072,0,100,966,966,732236,732236
524,7.0.0.123,49154,1.0.0.2,9,236.068,240.998,4.93049,1232.69,1187.93,1187.93,18.3445,1.56136,1.93286,98.0671,983,964,759720,732132
526,7.0.0.58,49157,1.0.0.2,9,236.11,240.998,4.88849,1328.74,1197.63,1197.63,37.7401,3.64819,5.88235,94.1176,1020,960,811944,731824
527,7.0.0.12,49153,1.0.0.2,9,236.134,240.998,4.86449,1333.85,1202.51,1202.51,64.9095,2.12533,5.48355,94.5165,1003,948,811060,731200
529,7.0.0.20,49154,1.0.0.2,9,236.176,236.686,0.509993,354.891,68.5813,68.5813,4.94833,0.748293,80.6897,19.3103,435,84,22624,4372
532,7.0.0.115,49154,1.0.0.2,9,240.999,246,5.00099,1172.51,1172.51,1172.51,17.4759,1.0018,0,100,980,980,732964,732964
533,7.0.0.24,49154,1.0.0.2,9,241.004,248.062,7.05799,922.778,830.613,830.613,10.4258,3.0028,5.40019,94.5998,1037,981,814120,732808
536,7.0.0.125,49156,1.0.0.2,9,241.021,246,4.97899,1175.69,1175.69,1175.69,33.535,1.35271,0,100,956,956,731716,731716
538,7.0.0.85,49155,1.0.0.2,9,241.102,0,0,0,0,0,0,0,100,0,3,0,164,0
539,7.0.0.134,49154,1.0.0.2,9,241.124,246,4.87599,1300.07,1200.01,1200.01,47.9501,1.71211,4.22535,95.7746,994,952,792392,731408
541,7.0.0.106,49155,1.0.0.2,9,241.163,0,0,0,0,0,0,0,100,0,3,0,164,0
542,7.0.0.56,49156,1.0.0.2,9,246.039,0,0,0,0,0,0,0,100,0,3,0,164,0
543,7.0.0.103,49156,1.0.0.2,9,246.065,251.001,4.9365,538.721,472.834,472.834,11.0381,2.63253,4.08759,95.9124,685,657,332424,291768
544,7.0.0.123,49155,1.0.0.2,9,246.083,251.001,4.91796,1178.52,1178.52,1178.52,13.0287,0.778168,0,100,817,817,724488,724488
546,7.0.0.101,49154,1.0.0.2,9,246.131,250.999,4.86849,1204.42,1204.42,1204.42,30.0463,1.26043,0,100,980,980,732964,732964
547,7.0.0.145,49157,1.0.0.2,9,246.135,250.999,4.86449,1203.27,1203.27,1203.27,31.2166,1.17378,0,100,955,955,731664,731664
550,7.0.0.136,49155,1.0.0.2,9,246.162,250.625,4.46296,1164.4,1083.71,1083.71,9.71935,1.96957,3.38798,96.612,915,884,649584,604572
553,7.0.0.127,49155,1.0.0.2,9,251.028,0,0,0,0,0,0,0,100,0,3,0,164,0
554,7.0.0.58,49158,1.0.0.2,9,251.045,256.001,4.95599,1261.39,1169.98,1169.98,14.4113,2.54399,4.51389,95.4861,864,825,781432,724804
556,7.0.0.113,49154,1.0.0.2,9,251.075,256,4.92499,1220.5,1187.48,1187.48,12.6412,1.8849,1.4629,98.5371,957,943,751368,731040
558,7.0.0.140,49158,1.0.0.2,9,251.125,256,4.87499,1201.11,1201.11,1201.11,29.9265,0.985129,0,100,960,960,731924,731924
560,7.0.0.111,49157,1.0.0.2,9,251.178,253.539,2.36151,486.509,358.618,358.618,17.5127,2.17529,4.69314,95.3069,554,528,143612,105860
562,7.0.0.129,49155,1.0.0.2,9,251.184,256,4.81599,1215.3,1215.3,1215.3,22.498,1.04569,0,100,954,954,731612,731612
564,7.0.0.83,49155,1.0.0.2,9,256.013,0,0,0,0,0,0,0,100,0,3,0,164,0
565,7.0.0.17,49157,1.0.0.2,9,256.015,0,0,0,0,0,0,0,100,0,3,0,164,0
566,7.0.0.134,49155,1.0.0.2,9,256.087,261,4.91299,1193.07,1188.35,1188.35,15.6418,1.28078,0.217155,99.7828,921,919,732696,729792
568,7.0.0.79,49155,1.0.0.2,9,256.114,0,0,0,0,0,0,0,100,0,3,0,164,0
569,7.0.0.6,49153,1.0.0.2,9,256.126,261,4.87399,1200.59,1200.59,1200.59,24.2331,1.04861,0,100,951,951,731456,731456
571,7.0.0.149,49156,1.0.0.2,9,256.17,261,4.82999,1203.86,1203.86,1203.86,25.9497,0.994831,0,100,862,862,726828,726828
573,7.0.0.129,49156,1.0.0.2,9,261.024,266,4.97599,1171.38,1171.38,1171.38,13.286,0.824825,0,100,896,896,728596,728596
575,7.0.0.67,49153,1.0.0.2,9,261.12,261.441,0.320993,626.057,248.928,248.928,5.07895,1.48847,60.2484,39.7516,483,192,25120,9988
576,7.0.0.10,49154,1.0.0.2,9,261.12,266,4.87999,1200.47,1200.47,1200.47,15.1186,0.986247,0,100,967,967,732288,732288
577,7.0.0.44,49153,1.0.0.2,9,261.122,261.68,0.557993,398.17,178.984,178.984,6.09947,1.61407,55.0562,44.9438,534,240,27772,12484
581,7.0.0.48,49156,1.0.0.2,9,261.142,266.001,4.85899,1267.39,1202.84,1202.84,10.1726,2.13724,2.80374,97.1963,963,936,769780,730576
583,7.0.0.32,49159,1.0.0.2,9,261.175,0,0,0,0,0,0,0,100,0,3,0,164,0
584,7.0.0.140,49159,1.0.0.2,9,266.026,271.001,4.97499,1189.64,1177.97,1177.97,11.2268,1.36845,0.511771,99.4882,977,972,739808,732548
585,7.0.0.49,49155,1.0.0.2,9,266.042,271,4.95799,1181.76,1181.76,1181.76,20.0586,1.03852,0,100,969,969,732392,732392
588,7.0.0.28,49158,1.0.0.2,9,266.086,271,4.91399,1191.58,1191.58,1191.58,32.8692,1.23957,0,100,960,960,731924,731924
590,7.0.0.3,49155,1.0.0.2,9,266.108,271,4.89199,1195.74,1195.74,1195.74,24.0777,1.19204,0,100,946,946,731196,731196
592,7.0.0.67,49154,1.0.0.2,9,266.129,0,0,0,0,0,0,0,100,0,3,0,164,0
593,7.0.0.105,49157,1.0.0.2,9,266.161,0,0,0,0,0,0,0,100,0,3,0,164,0
594,7.0.0.148,49154,1.0.0.2,9,271.003,276,4.99696,1180.89,1159.97,1159.97,17.6818,1.96628,1.08827,98.9117,827,818,737608,724540
596,7.0.0.13,49154,1.0.0.2,9,271.061,276,4.93896,1249.38,1181.18,1181.18,62.3041,1.68764,3.08839,96.9116,939,910,771332,729224
598,7.0.0.116,49154,1.0.0.2,9,271.092,0,0,0,0,0,0,0,100,0,3,0,164,0
599,7.0.0.55,49154,1.0.0.2,9,271.106,0,0,0,0,0,0,0,100,0,3,0,164,0
600,7.0.0.102,49156,1.0.0.2,9,271.146,276,4.85396,1207.68,1207.68,1207.68,18.0496,1.18337,0,100,976,976,732756,732756
602,7.0.0.48,49157,1.0.0.2,9,271.174,275.998,4.82449,1255.39,1214.46,1214.46,11.999,1.99299,1.72414,98.2759,986,969,757076,732392
604,7.0.0.95,49155,1.0.0.2,9,276.019,281,4.98096,1176.39,1176.39,1176.39,26.9854,1.08959,0,100,970,970,732444,732444
605,7.0.0.133,49154,1.0.0.2,9,276.02,280.998,4.97849,1293.64,1176.98,1176.98,15.2506,1.96336,4.89237,95.1076,1022,972,805048,732448
608,7.0.0.69,49153,1.0.0.2,9,276.076,281,4.92396,1189.33,1189.33,1189.33,14.7553,1.20065,0,100,962,962,732028,732028
610,7.0.0.124,49155,1.0.0.2,9,276.104,284.461,8.35749,770.218,697.943,697.943,12.9967,2.44032,5.39979,94.6002,963,911,804636,729132
612,7.0.0.44,49154,1.0.0.2,9,276.111,0,0,0,0,0,0,0,100,0,3,0,164,0
613,7.0.0.147,49155,1.0.0.2,9,276.164,0,0,0,0,0,0,0,100,0,3,0,164,0
614,7.0.0.15,49155,1.0.0.2,9,281.028,0,0,0,0,0,0,0,100,0,3,0,164,0
615,7.0.0.113,49155,1.0.0.2,9,281.044,286,4.95599,1216.69,1172.16,1172.16,17.8896,2.18818,2.18894,97.8111,868,849,753740,726152
617,7.0.0.14,49155,1.0.0.2,9,281.082,0,0,0,0,0,0,0,100,0,3,0,164,0
618,7.0.0.48,49158,1.0.0.2,9,281.105,285.998,4.89349,1273.29,1192.58,1192.58,12.7853,3.11878,3.58272,96.4173,949,915,778852,729484
620,7.0.0.33,49154,1.0.0.2,9,281.147,281.503,0.355993,517.763,114.609,114.609,6.412,2.30763,77.8781,22.1219,443,98,23040,5100
621,7.0.0.110,49157,1.0.0.2,9,281.153,0,0,0,0,0,0,0,100,0,3,0,164,0
623,7.0.0.25,49155,1.0.0.2,9,286.03,286.745,0.715493,288.428,114.003,114.003,11.7026,2.25706,60.4839,39.5161,496,196,25796,10196
625,7.0.0.29,49157,1.0.0.2,9,286.118,0,0,0,0,0,0,0,100,0,3,0,164,0
626,7.0.0.50,49153,1.0.0.2,9,286.13,291,4.86996,1203.8,1203.8,1203.8,12.3613,0.84395,0,100,977,977,732808,732808
627,7.0.0.36,49154,1.0.0.2,9,286.134,294.121,7.98749,810.451,733.375,733.375,11.266,3.01163,5.17578,94.8242,1024,971,809184,732228
630,7.0.0.63,49153,1.0.0.2,9,286.15,290.998,4.84849,1259.27,1208.87,1208.87,16.3028,2.03114,2.20884,97.7912,996,974,763196,732652
632,7.0.0.65,49153,1.0.0.2,9,286.171,291.034,4.86299,1283.62,1207.18,1207.18,11.5131,2.9931,3.18408,96.8159,1005,973,780280,733816
634,7.0.0.50,49154,1.0.0.2,9,291.001,296,4.99899,1159.25,1159.25,1159.25,14.0482,0.825354,0,100,815,815,724384,724384
636,7.0.0.69,49154,1.0.0.2,9,291.055,296.001,4.94599,1181.01,1181.01,1181.01,17.6032,0.979816,0,100,926,926,730156,730156
637,7.0.0.85,49156,1.0.0.2,9,291.066,0,0,0,0,0,0,0,100,0,3,0,164,0
639,7.0.0.15,49156,1.0.0.2,9,291.131,0,0,0,0,0,0,0,100,0,3,0,164,0
640,7.0.0.114,49155,1.0.0.2,9,291.14,296,4.85999,1204.04,1204.04,1204.04,22.8938,1.095,0,100,951,951,731456,731456
641,7.0.0.137,49154,1.0.0.2,9,291.144,296,4.85599,1217.17,1205.21,1205.21,13.6065,1.49348,0.521921,99.4781,958,953,738820,731560
644,7.0.0.9,49155,1.0.0.2,9,296.02,301.002,4.98249,1176.28,1176.28,1176.28,16.5149,0.999823,0,100,973,973,732600,732600
645,7.0.0.109,49155,1.0.0.2,9,296.032,301.001,4.96899,1191.5,1179.81,1179.81,15.2335,1.44398,0.509165,99.4908,982,977,740068,732808
