round,ids
1,10;125
2,113;27;149;108
3,136;42
4,144;94
5,18;84;147
6,135
7,45;116;63;135
8,132
9,130;26;139
10,96;51;148;27;10
11,150;27;139
12,60;128;149;94
13,129;148
14,7;98;85;77;72
15,10;101;87;34;90
16,2;150;101
17,46
18,61;80
19,52;129;60
20,131;2
21,77;93
22,118;130;61;87
23,124;150;130;76;60;123
24,96;150;141
25,70;42;91;18
26,102;3;128;47
27,121;10;139;92;23
28,134;36;40
29,8;7;56;83;145
30,45
31,81;27;148;60
32,48;61;144;60;133
33,150;6
34,100;81;61
35,44;130;143;114;40
36,56;139
37,33;20;18;89
38,7;144;124;12
39,8;80;46;110
40,110;121
41,111;130;122;101
42,44;137;134;139;18
43,131;81;110
44,20;124;96;140
45,112;98;48;40;89
46,72;113;76;42
47,108;137;27
48,144;122;57;11
49,114;124;133
50,122;100;144
51,139;128;112;57
52,5;148;133
53,128;9;47
54,48;27;2;139
55,147;101;12;47
56,94;68;132
57,112;47
58,49;62
59,49;68;113;136
60,8;96;131;116;108
61,71;63;131;41
62,2;42;34
63,61;92;23;50
64,44;36;75;100;8;64
65,113;100;76;93
66,121;130;5;36
67,127;135
68,145;122;33
69,36;71
70,122;149;135
71,4;130;68
72,4;83;112;48;62
73,125;108;49
74,143;116;94;62;112
75,80;18
76,148;18;101;60;9
77,87;111;18
78,63;9;76;92
79,42;3;39
80,81;72;18
81,76;145;147;52
82,36;121;44;147
83,36;81;42
84,36;9
85,136;46;122;61;150;27
86,124;47
87,116;49;114;86
88,121;57
89,87;7;123;112
90,46;87;131;93;92
91,129;60
92,20
93,113;64;123
94,72;63;52;135
95,46;70;35
96,100;93;118;134
97,8;72;90
98,114;72;70;48
99,136;98;3;108;56;150
100,26;108;83;76;80
