round,total_tbSize
1,2599203
2,4075054
3,3167410
4,2870946
5,4704563
6,2577275
7,3936485
8,1364684
9,3279437
10,4045527
11,2600865
12,3820854
13,4945568
14,4791051
15,4835778
16,3550620
17,4262408
18,3359972
19,4476821
20,2950099
21,3103999
22,4847539
23,6374772
24,3759748
25,5310359
26,4024703
27,4884627
28,2906548
29,4556488
30,1062396
31,5338799
32,5319970
33,3357849
34,2707428
35,5003334
36,1824158
37,4477835
38,4048255
39,4304763
40,3529040
41,3798249
42,4564432
43,4884425
44,5688745
45,5834065
46,3508924
47,3800298
48,5151424
49,4357016
50,5099391
51,4565311
52,2556807
53,3125393
54,3418493
55,4402459
56,3402051
57,3930070
58,3962526
59,4811896
60,4236913
61,3828402
62,3507126
63,4513754
64,5630572
65,4664050
66,3779125
67,2988294
68,2477429
69,2911894
70,3257590
71,5079694
72,5339197
73,2681405
74,5312827
75,2532739
76,5217080
77,3908817
78,4036228
79,4872651
80,2509987
81,4665255
82,5411385
83,2676724
84,2399702
85,5188363
86,1690110
87,3907293
88,1972739
89,4250133
90,4612603
91,1979427
92,830408
93,3156162
94,4825867
95,3953937
96,3909801
97,5190358
98,5950540
99,5527423
100,4992210
