round,count
1,4271
2,6140
3,4271
4,4131
5,5554
6,5188
7,6060
8,5178
9,4589
10,4737
11,3438
12,4978
13,6529
14,5560
15,6966
16,5580
17,7835
18,6339
19,3399
20,5716
21,4394
22,5984
23,6500
24,2396
25,5405
26,5476
27,3740
28,6570
29,3978
30,6350
31,5495
32,2925
33,5196
34,3893
35,4763
36,6757
37,4085
38,4338
39,4223
40,1708
41,5492
42,3260
43,6263
44,5009
45,4069
46,1368
47,3605
48,1879
49,2959
50,4786
51,2564
52,2704
53,628
54,5469
55,3156
56,3655
57,2661
58,1340
59,3641
60,3727
61,6517
62,4389
63,1745
64,3099
65,1804
66,4335
67,2836
68,3003
69,1788
70,4043
71,5679
72,4831
73,4436
74,3687
75,1590
76,2726
77,3799
78,4608
79,1122
80,3372
81,5899
82,2768
83,2283
84,5076
85,2405
86,3989
87,2919
88,1985
89,3284
90,5122
91,1766
92,2168
93,1772
94,4363
95,638
96,2430
97,1060
98,3402
99,1750
100,4797
