round,total_numsym
1,49406
2,71241
3,49755
4,47362
5,64794
6,59657
7,70038
8,60548
9,53149
10,55224
11,39768
12,57349
13,75551
14,64806
15,79305
16,64927
17,89994
18,73885
19,39643
20,66225
21,51206
22,68753
23,75380
24,27997
25,62694
26,63693
27,43201
28,76254
29,46578
30,73698
31,63907
32,34209
33,61090
34,45582
35,55247
36,78684
37,47412
38,50412
39,49211
40,20018
41,63679
42,38234
43,73474
44,58273
45,47618
46,16039
47,42229
48,22094
49,34742
50,55680
51,29920
52,31569
53,7371
54,63453
55,37012
56,42999
57,31106
58,15734
59,42606
60,43318
61,76250
62,51270
63,20419
64,36329
65,21115
66,50834
67,33259
68,35008
69,20983
70,47496
71,65950
72,56807
73,51553
74,43249
75,18629
76,31930
77,44182
78,53967
79,13166
80,39358
81,68536
82,32404
83,26804
84,59204
85,28170
86,46618
87,33833
88,23259
89,38123
90,59925
91,20767
92,25448
93,20829
94,51258
95,7499
96,28405
97,12449
98,39706
99,20571
100,55948
