round,total_ul_rbg
1,58052
2,42431
3,44615
4,45805
5,47235
6,43231
7,47063
8,47371
9,45256
10,46944
11,45266
12,45690
13,44584
14,47136
15,47348
16,45500
17,40040
18,37197
19,35728
20,35638
21,35847
22,36524
23,38317
24,35919
25,34391
26,36038
27,35321
28,36019
29,36449
30,34072
31,35739
32,35099
33,35481
34,36317
35,35606
36,35144
37,36165
38,34849
39,36048
40,36017
41,37789
42,36821
43,36278
44,36284
45,35949
46,36101
47,35257
48,34895
49,35152
50,37228
51,34830
52,34307
53,35141
54,35631
55,36974
56,34516
57,35580
58,36573
59,36659
60,35003
61,37350
62,36532
63,34211
64,36997
65,36034
66,36754
67,35302
68,34736
69,36729
70,37151
71,33520
72,36507
73,36148
74,38407
75,36193
76,34256
77,36350
78,34721
79,36236
80,34571
81,35924
82,38412
83,26648
84,23700
85,23112
86,24549
87,24192
88,25408
89,25338
90,23983
91,24828
92,19903
93,24991
94,23802
95,24191
96,26157
97,24885
98,24639
99,25146
100,24755
