round,total_numsym
1,88071
2,22757
3,63464
4,56499
5,88172
6,41213
7,88245
8,50298
9,56746
10,75612
11,86401
12,41983
13,34459
14,55890
15,60149
16,59068
17,67191
18,48436
19,33026
20,37731
21,49942
22,51797
23,55035
24,38465
25,89780
26,56109
27,37338
28,43632
29,47386
30,20708
31,50358
32,101079
33,35774
34,52167
35,59153
36,38840
37,53550
38,32529
39,85790
40,71786
41,74565
42,51591
43,31934
44,19682
45,48403
46,50723
47,49930
48,46166
49,52864
50,72492
51,14218
52,28693
53,33667
54,50979
55,63265
56,17801
57,34502
58,55168
59,63228
60,36458
61,77306
62,53281
63,25323
64,65691
65,42178
66,19413
67,44848
68,38774
69,56212
70,40161
71,12196
72,43305
73,70385
74,86775
75,64000
76,25904
77,57581
78,12216
79,32128
80,46510
81,62016
82,55902
83,15329
84,40964
85,22167
86,32391
87,43978
88,24248
89,66470
90,8550
91,59658
92,90018
93,33609
94,26751
95,27985
96,77173
97,49618
98,56832
99,55514
100,33653
