round,total_tbSize
1,5073187
2,5629557
3,6401929
4,5059591
5,4759876
6,4558907
7,4965118
8,5699581
9,5932868
10,5135150
11,5490243
12,5319214
13,4451384
14,4015809
15,3721074
16,4083960
17,4409847
18,5004201
19,4306739
20,5409244
21,2577017
22,5177001
23,4526149
24,5115263
25,3769051
26,4444200
27,4881871
28,3821459
29,5496433
30,4514850
31,5711062
32,3297373
33,4699912
34,4605018
35,5390329
36,4545036
37,3300008
38,4965101
39,4981884
40,2942161
41,4678475
42,3660029
43,5365989
44,5177337
45,4754950
46,3899760
47,1914217
48,3891154
49,4072873
50,5146817
51,3297798
52,3791859
53,3389768
54,3653018
55,3549840
56,4873433
57,5193562
58,3290955
59,3463748
60,3319140
61,4714598
62,4879830
63,4982466
64,4127797
65,2437666
66,4988819
67,4570536
68,5558378
69,3296792
70,5105982
71,3290237
72,4107688
73,4566016
74,4702447
75,2946864
76,2497979
77,5261150
78,2669799
79,4028475
80,3491403
81,3046766
82,2449388
83,4060444
84,3933087
85,3701178
86,4096198
87,4639593
88,2875290
89,4650425
90,2445600
91,4279329
92,4658873
93,4434264
94,4589609
95,5582355
96,4611170
97,4759499
98,5077604
99,3282584
100,4016410
