round,success_count
1,6
2,4
3,5
4,5
5,4
6,5
7,5
8,4
9,6
10,4
11,4
12,5
13,4
14,3
15,3
16,3
17,3
18,5
19,5
20,5
21,3
22,5
23,4
24,5
25,4
26,5
27,4
28,4
29,5
30,5
31,6
32,4
33,5
34,5
35,6
36,2
37,3
38,5
39,5
40,3
41,5
42,4
43,6
44,6
45,4
46,4
47,2
48,4
49,4
50,5
51,4
52,4
53,4
54,4
55,2
56,4
57,5
58,4
59,4
60,4
61,5
62,4
63,5
64,5
65,3
66,6
67,5
68,4
69,4
70,6
71,4
72,5
73,5
74,4
75,3
76,3
77,5
78,3
79,4
80,4
81,3
82,3
83,5
84,4
85,4
86,5
87,5
88,3
89,5
90,3
91,5
92,5
93,5
94,5
95,5
96,4
97,4
98,6
99,4
100,4
