round,start,end,dur_s,dest,tx_kbit_s,rx_kbit_s,throughput_kbit_s,mean_delay_ms,mean_jitter_ms,packet_loss_pct,delivery_ratio_pct,tx_pkts,rx_pkts,tx_bytes,rx_bytes
1,1,5.35907,4.35907,1.0.0.2,8023.87,8018.55,8018.55,21.8986,1.14377,0.0352485,99.9648,5674,5672,4372072,4369172
1,1,5.35907,4.35907,5.0.0.2,46513.5,5760.93,5760.93,14.5128,3.02649,87.6141,12.3859,24092,2984,25344440,3139033
2,5.35907,10.3591,5,1.0.0.2,7176.6,6963.1,6963.1,18.1256,1.64179,1.59106,98.4089,5908,5814,4485377,4351935
2,5.35907,10.3591,5,5.0.0.2,34987.3,5617.68,5617.68,14.2689,2.91994,83.9419,16.0581,20787,3338,21867051,3511048
3,10.3591,15.3591,5,1.0.0.2,7160.41,7059.11,7059.11,15.7465,1.16534,0.738503,99.2615,5958,5914,4475255,4411941
3,10.3591,15.3591,5,5.0.0.2,5180.81,5175.88,5175.88,13.587,2.61943,0.0974342,99.9026,3079,3076,3238007,3234928
4,15.3591,20.3591,5,1.0.0.2,5993.36,5924.79,5924.79,20.1952,1.18532,7.02472,92.9753,5381,5003,3745853,3702994
4,15.3591,20.3591,5,5.0.0.2,5180.81,5175.88,5175.88,13.587,2.61943,0.0974342,99.9026,3079,3076,3238007,3234928
5,20.3591,25.3591,5,1.0.0.2,5492.77,5355.63,5355.63,17.5678,1.38256,1.21248,98.7875,5031,4970,3432983,3347270
5,20.3591,25.3591,5,5.0.0.2,5180.81,5175.88,5175.88,13.587,2.61943,0.0974342,99.9026,3079,3076,3238007,3234928
6,25.3591,30.3591,5,1.0.0.2,6183.9,6151.22,6151.22,16.7608,1.2976,0.278035,99.722,5395,5380,3864935,3844513
6,25.3591,30.3591,5,5.0.0.2,5180.81,5175.88,5175.88,13.587,2.61943,0.0974342,99.9026,3079,3076,3238007,3234928
7,30.3591,35.3591,5,1.0.0.2,6624.15,6442.93,6442.93,18.482,1.31192,1.38914,98.6109,5615,5537,4140096,4026831
7,30.3591,35.3591,5,5.0.0.2,5180.81,5175.88,5175.88,13.587,2.61943,0.0974342,99.9026,3079,3076,3238007,3234928
8,35.3591,40.3591,5,1.0.0.2,6249.81,5942.51,5942.51,27.1573,1.56078,2.66183,97.3382,4959,4827,3906130,3714069
