round,count
1,4341
2,8002
3,5324
4,9543
5,9278
6,9691
7,7920
8,4822
9,6013
10,7004
11,4337
12,2859
13,5558
14,4818
15,3374
16,7986
17,6998
18,7760
19,6611
20,4567
21,4727
22,8430
23,2760
24,6421
25,1524
26,2733
27,5138
28,6757
29,4817
30,5866
31,5518
32,6786
33,6071
34,6726
35,7506
36,4130
37,4093
38,5562
39,2693
40,3211
41,2277
42,3787
43,4662
44,2209
45,2858
46,3462
47,3871
48,5207
49,3344
50,3875
51,2044
52,5433
53,2050
54,7563
55,4595
56,4834
57,1854
58,2872
59,5303
60,6085
61,8200
62,3815
63,3108
64,4743
65,3336
66,6331
67,5818
68,8871
69,9353
70,6758
71,4831
72,5760
73,5463
74,6214
75,2910
76,4325
77,3998
78,5620
79,3914
80,3009
81,8358
82,5483
83,3107
84,2640
85,5298
86,3046
87,3719
88,2961
89,1790
90,7705
91,2998
92,9544
93,5137
94,7350
95,3230
96,3817
97,4375
98,2835
99,6783
100,1962
