round,total_numsym
1,49811
2,90808
3,60558
4,109749
5,106537
6,112626
7,89987
8,55432
9,68060
10,80923
11,50255
12,33245
13,64343
14,56503
15,39370
16,91434
17,78310
18,87992
19,76119
20,52787
21,54872
22,98229
23,32131
24,72691
25,17866
26,31717
27,58845
28,76475
29,55993
30,68831
31,63376
32,77782
33,69892
34,77499
35,86477
36,47882
37,47372
38,63954
39,31372
40,37172
41,26723
42,43879
43,54368
44,25696
45,33512
46,40122
47,45084
48,60575
49,38601
50,45231
51,23856
52,62503
53,23965
54,86342
55,53198
56,56303
57,21662
58,33472
59,60842
60,69439
61,94430
62,44453
63,35865
64,55403
65,38478
66,73190
67,67460
68,103077
69,108601
70,77772
71,55605
72,64751
73,63261
74,71620
75,34025
76,49850
77,46273
78,65833
79,44699
80,35258
81,98236
82,64331
83,36027
84,30957
85,60065
86,35782
87,43648
88,34552
89,20981
90,87737
91,35222
92,111969
93,59770
94,85083
95,37680
96,44787
97,50910
98,32735
99,78792
100,22947
