round,total_tbSize
1,1794864
2,4438930
3,2610330
4,5008883
5,5067890
6,5032180
7,4034548
8,4161822
9,2762519
10,4526184
11,2476065
12,2565237
13,3869928
14,3090410
15,2907474
16,4178255
17,3318285
18,4478976
19,4533233
20,4172662
21,3299194
22,4678393
23,2331749
24,3899141
25,2013708
26,2452296
27,3323576
28,4166272
29,3203275
30,3284990
31,3542977
32,5054936
33,4409789
34,3125113
35,3874823
36,2848617
37,2679627
38,3448870
39,2316173
40,2755688
41,1798277
42,2022921
43,3628286
44,2213187
45,2876014
46,2251635
47,2848200
48,3927728
49,2944878
50,3485121
51,1868296
52,2816296
53,2004786
54,4463977
55,4111282
56,3719456
57,1607805
58,2888732
59,4232986
60,3022394
61,3551277
62,2792938
63,2800148
64,3745681
65,2885138
66,4739217
67,3802455
68,4368215
69,5036602
70,5056879
71,4121759
72,3060883
73,4788703
74,4396290
75,2250906
76,3649311
77,3749655
78,3767404
79,3175601
80,3117755
81,4178655
82,3319840
83,2667077
84,2636750
85,3443571
86,2524135
87,2966353
88,3579324
89,1946035
90,4794829
91,2468394
92,4124193
93,3858882
94,4047094
95,2228063
96,3345381
97,3457384
98,2563013
99,3843721
100,2503625
