round,total_tbSize
1,3026241
2,5015423
3,5030286
4,3930725
5,4180932
6,4287419
7,3867835
8,4700317
9,3553985
10,3146085
11,3619596
12,5557912
13,4767429
14,4538134
15,3812608
16,3708371
17,4851538
18,4665960
19,4109136
20,4407356
21,4145138
22,3672076
23,2820951
24,4588649
25,3086012
26,1789241
27,4869507
28,3161230
29,3808313
30,2076203
31,3405923
32,3945718
33,3564950
34,3090741
35,5188461
36,2837927
37,2744144
38,5651332
39,3637754
40,6261957
41,4537169
42,1164307
43,4145380
44,3756954
45,2726236
46,4443850
47,3649493
48,5072614
49,2990573
50,3261284
51,4049450
52,3340453
53,3540115
54,3087185
55,3676554
56,4833016
57,2447071
58,5475355
59,3993141
60,3589955
61,4405494
62,4810312
63,6031644
64,3614843
65,4467913
66,5560848
67,2485184
68,5045010
69,3455554
70,6365189
71,2730164
72,3779876
73,1918834
74,2161184
75,2358993
76,4151346
77,3416558
78,4776397
79,6201292
80,3057702
81,3304225
82,4101530
83,4246052
84,4180352
85,4969091
86,3319752
87,1946806
88,5113080
89,4856601
90,2476173
91,4924278
92,5294252
93,2285864
94,4256559
95,3932152
96,4564948
97,3531731
98,3998264
99,3351118
100,3634589
