round,total_numsym
1,82241
2,117671
3,95292
4,72136
5,78385
6,74627
7,86025
8,94354
9,76196
10,76427
11,99510
12,85528
13,105259
14,89553
15,62464
16,58823
17,105889
18,89089
19,62873
20,76662
21,114264
22,95654
23,59932
24,92766
25,46809
26,41971
27,98292
28,36471
29,76453
30,52295
31,71553
32,62239
33,71604
34,74113
35,116008
36,51531
37,47254
38,132783
39,82480
40,111286
41,66537
42,29378
43,104797
44,86725
45,30910
46,68035
47,57417
48,80337
49,33080
50,54466
51,69868
52,55612
53,48941
54,32063
55,57820
56,68399
57,25082
58,106389
59,62340
60,75479
61,67630
62,62434
63,109615
64,56299
65,82774
66,110568
67,38915
68,109279
69,44157
70,110207
71,28250
72,42371
73,20031
74,20514
75,20162
76,75650
77,48234
78,71358
79,143441
80,31525
81,50617
82,57235
83,60440
84,59715
85,82788
86,60003
87,33238
88,98714
89,64120
90,26830
91,92870
92,60523
93,38717
94,56962
95,77397
96,73559
97,36200
98,45367
99,47158
100,70236
