round,ndi0_count,ndi1_count
1,609,6605
2,415,9840
3,438,7856
4,380,5893
5,494,6405
6,383,6099
7,369,7245
8,566,7709
9,734,6027
10,526,6220
11,756,8137
12,518,6955
13,509,8730
14,540,7308
15,458,4944
16,149,4893
17,683,8611
18,198,7458
19,209,5194
20,405,6230
21,39,9696
22,269,8030
23,319,4847
24,214,7756
25,323,3737
26,374,3249
27,289,8164
28,320,2801
29,211,6381
30,278,4255
31,679,5578
32,182,5231
33,411,5831
34,332,6195
35,453,9635
36,358,4124
37,504,3593
38,299,11093
39,431,6690
40,204,9312
41,303,5445
42,145,2364
43,48,8993
44,500,7005
45,330,2317
46,599,5315
47,100,4802
48,205,6763
49,167,2674
50,1,4659
51,355,5812
52,248,4551
53,258,3983
54,152,2609
55,224,4749
56,354,5556
57,236,1912
58,153,9100
59,292,5104
60,155,6359
61,394,5531
62,551,4856
63,264,9179
64,145,4682
65,189,6976
66,248,9320
67,17,3309
68,73,9288
69,139,3661
70,311,9232
71,30,2382
72,212,3402
73,347,1401
74,152,1597
75,96,1621
76,1,6440
77,410,3870
78,368,5842
79,551,11912
80,252,2453
81,191,4266
82,166,4786
83,325,4888
84,421,4785
85,432,6956
86,305,4877
87,125,2746
88,181,8344
89,294,5253
90,3,2286
91,322,7698
92,373,4887
93,435,2923
94,236,4690
95,336,6392
96,195,6218
97,345,2762
98,206,3686
99,19,4001
100,223,5839
