round,count
1,7214
2,10255
3,8294
4,6273
5,6899
6,6482
7,7614
8,8275
9,6761
10,6746
11,8893
12,7473
13,9239
14,7848
15,5402
16,5042
17,9294
18,7656
19,5403
20,6635
21,9735
22,8299
23,5166
24,7970
25,4060
26,3623
27,8453
28,3121
29,6592
30,4533
31,6257
32,5413
33,6242
34,6527
35,10088
36,4482
37,4097
38,11392
39,7121
40,9516
41,5748
42,2509
43,9041
44,7505
45,2647
46,5914
47,4902
48,6968
49,2841
50,4660
51,6167
52,4799
53,4241
54,2761
55,4973
56,5910
57,2148
58,9253
59,5396
60,6514
61,5925
62,5407
63,9443
64,4827
65,7165
66,9568
67,3326
68,9361
69,3800
70,9543
71,2412
72,3614
73,1748
74,1749
75,1717
76,6441
77,4280
78,6210
79,12463
80,2705
81,4457
82,4952
83,5213
84,5206
85,7388
86,5182
87,2871
88,8525
89,5547
90,2289
91,8020
92,5260
93,3358
94,4926
95,6728
96,6413
97,3107
98,3892
99,4020
100,6062
