round,ndi0_count,ndi1_count
1,121,3704
2,385,3991
3,329,5167
4,333,3883
5,123,6058
6,60,3496
7,120,3053
8,177,2992
9,126,7084
10,335,7465
11,315,3239
12,241,4090
13,357,2406
14,144,2519
15,312,4843
16,273,3421
17,226,8091
18,148,3101
19,436,4061
20,320,5097
21,546,5013
22,725,5559
23,131,4881
24,203,3409
25,412,6526
26,458,2936
27,377,4434
28,501,5655
29,328,4639
30,17,6362
31,144,4927
32,285,3133
33,314,6897
34,543,3690
35,159,1589
36,278,4913
37,356,3642
38,444,5740
39,500,5679
40,217,4711
41,157,5472
42,203,3718
43,308,7122
44,235,6492
45,123,2493
46,205,2257
47,194,5879
48,255,3338
49,464,4828
50,261,3316
51,334,2423
52,412,4035
53,346,4262
54,410,4587
55,405,4057
56,497,4613
57,419,5883
58,301,6052
59,383,5210
60,658,5882
61,377,5852
62,251,5207
63,280,4135
64,149,2964
65,357,7187
66,290,4916
67,227,3596
68,7,2615
69,281,5458
70,370,5069
71,476,2652
72,671,3816
73,67,2525
74,222,1830
75,202,4686
76,289,3427
77,102,3591
78,352,3414
79,4,2416
80,5,1012
81,122,3584
82,179,1622
83,116,2014
84,323,6805
85,30,4187
86,128,2992
87,42,3775
88,350,1769
89,116,5605
90,237,2272
91,126,5079
92,305,5683
93,100,5763
94,6,8790
95,0,4126
96,193,4800
97,245,3278
98,21,3034
99,58,7480
100,20,683
