round,total_tbSize
1,2563862
2,2702591
3,3579705
4,3456073
5,3414425
6,2982677
7,3120903
8,2975626
9,4307232
10,5451412
11,2889455
12,3476282
13,2428512
14,2665159
15,3485628
16,3008054
17,4547672
18,3546656
19,3170409
20,3990475
21,4295643
22,4189221
23,3055412
24,3863959
25,4442738
26,3204342
27,3904044
28,5212335
29,4168250
30,4008687
31,3713334
32,3183324
33,4760613
34,4335684
35,1752224
36,3921042
37,2808261
38,4639074
39,5414921
40,4249790
41,4189364
42,3986998
43,4918441
44,5130226
45,2648513
46,2353164
47,4492217
48,3828442
49,5185899
50,3151841
51,3242723
52,3865048
53,4289737
54,4884537
55,3213553
56,4532752
57,5148413
58,5223895
59,5235678
60,5385249
61,4417372
62,4299214
63,3974672
64,3022049
65,4744357
66,4761654
67,4093199
68,2408356
69,4510759
70,4298938
71,2992295
72,4784177
73,2485681
74,2198763
75,4196192
76,3918410
77,4017957
78,3892568
79,2400168
80,1596077
81,3563960
82,2344818
83,2726827
84,4825336
85,3248232
86,2680857
87,3604417
88,2014766
89,4204875
90,2562770
91,4466983
92,5177433
93,4274021
94,4855898
95,3210149
96,4574945
97,4050022
98,3210743
99,5087036
100,823151
