round,avg_ul_mcs
1,27.5344
2,27.4394
3,27.3372
4,27.575
5,27.7902
6,27.6901
7,27.4349
8,27.3203
9,27.7994
10,27.8176
11,27.4578
12,27.6103
13,26.8426
14,27.6008
15,27.2561
16,26.6086
17,27.7731
18,27.6488
19,27.3411
20,27.5678
21,27.551
22,27.4223
23,27.7159
24,27.6908
25,27.5853
26,26.7275
27,27.1929
28,27.4505
29,27.6165
30,27.7645
31,27.7746
32,27.4014
33,27.7767
34,27.7054
35,26.7254
36,27.5768
37,27.2376
38,27.6767
39,27.5787
40,27.6138
41,27.7451
42,27.5353
43,27.7793
44,27.7821
45,27.6116
46,26.9866
47,27.8335
48,27.737
49,27.3876
50,27.2175
51,27.7004
52,27.6445
53,27.4444
54,27.664
55,27.3436
56,27.5137
57,27.3585
58,27.7304
59,27.6889
60,27.6355
61,27.8175
62,27.7539
63,27.7887
64,27.5914
65,27.6672
66,27.771
67,27.4656
68,27.6259
69,27.5367
70,27.6862
71,27.2666
72,27.0651
73,27.7064
74,27.0926
75,27.8343
76,27.2411
77,27.7246
78,27.6014
79,27.6537
80,27.2173
81,27.7294
82,27.1222
83,27.7023
84,27.7938
85,27.7707
86,27.2715
87,27.7354
88,26.0104
89,27.6978
90,27.5381
91,27.8025
92,27.754
93,27.8847
94,27.8507
95,27.8303
96,27.7456
97,27.6855
98,27.7316
99,27.8285
100,27.2034
