round,total_numsym
1,43919
2,49580
3,63142
4,48359
5,71416
6,41366
7,36541
8,36596
9,83721
10,90364
11,41338
12,49875
13,31997
14,31008
15,60021
16,43008
17,97357
18,37754
19,51678
20,62830
21,63564
22,71411
23,58762
24,42423
25,79780
26,39240
27,55956
28,71756
29,57147
30,74611
31,58830
32,39656
33,83705
34,48424
35,20509
36,60684
37,46029
38,71509
39,71711
40,57548
41,65771
42,45838
43,85769
44,78715
45,30253
46,28726
47,71015
48,41924
49,61686
50,41681
51,32135
52,51885
53,53662
54,57564
55,50789
56,59337
57,72856
58,73667
59,64743
60,75377
61,72092
62,63691
63,51541
64,36333
65,88315
66,60420
67,44620
68,30652
69,66436
70,63238
71,35812
72,51151
73,30450
74,23829
75,56695
76,43361
77,43285
78,43655
79,28408
80,11955
81,43011
82,21090
83,24744
84,82542
85,49519
86,36368
87,44861
88,24564
89,66965
90,29045
91,60968
92,69050
93,68838
94,103373
95,48266
96,57811
97,40943
98,35923
99,88220
100,8266
