round,total_ul_rbg
1,29113
2,28829
3,39416
4,36592
5,37863
6,33146
7,34777
8,32762
9,48206
10,58580
11,29185
12,36899
13,24709
14,28478
15,37377
16,33616
17,49123
18,38250
19,32531
20,42485
21,43391
22,42681
23,33080
24,39984
25,47379
26,32062
27,40748
28,52379
29,42973
30,45334
31,41089
32,32849
33,49981
34,42262
35,18625
36,40790
37,29517
38,47837
39,55262
40,45729
41,44776
42,42671
43,53183
44,54589
45,28775
46,25235
47,47511
48,39448
49,52715
50,33243
51,32009
52,37294
53,44862
54,50113
55,34110
56,45725
57,54821
58,56088
59,54408
60,53222
61,45028
62,45647
63,40543
64,32801
65,48875
66,49511
67,43558
68,27173
69,49213
70,44423
71,28228
72,48203
73,26856
74,21906
75,44757
76,40140
77,43090
78,38830
79,26939
80,17880
81,39158
82,23274
83,29232
84,51423
85,36069
86,29404
87,39474
88,19630
89,46739
90,26426
91,48247
92,55040
93,46528
94,54460
95,36107
96,49957
97,42320
98,35584
99,56589
100,9204
