round,total_numsym
1,69273
2,76337
3,43511
4,88130
5,81564
6,75393
7,68106
8,45367
9,70619
10,57602
11,60985
12,58310
13,82909
14,65521
15,92144
16,43284
17,72712
18,43611
19,70696
20,28651
21,49366
22,56602
23,72201
24,44419
25,54828
26,43537
27,61197
28,71038
29,49675
30,50672
31,35007
32,63820
33,80209
34,49724
35,45580
36,65741
37,29102
38,64995
39,72667
40,67524
41,72909
42,41446
43,30162
44,30672
45,27811
46,45781
47,42674
48,79086
49,74049
50,54464
51,53192
52,61513
53,45089
54,55028
55,56717
56,25346
57,44262
58,44028
59,93811
60,62402
61,40519
62,38469
63,26722
64,40741
65,59163
66,52936
67,42651
68,60614
69,19431
70,24179
71,66004
72,44069
73,72479
74,58000
75,63029
76,56283
77,38704
78,33320
79,45082
80,69194
81,22952
82,44874
83,86821
84,69899
85,33748
86,58244
87,54148
88,41622
89,31151
90,53301
91,45853
92,62987
93,67366
94,28898
95,53729
96,19232
97,19381
98,54195
99,26434
100,61427
