flow_id,src,sport,dst,dport,start,end,active_s,tx_kbit_s,rx_kbit_s,throughput_kbit_s,mean_delay_ms,mean_jitter_ms,packet_loss_pct,delivery_ratio_pct,tx_pkts,rx_pkts,tx_bytes,rx_bytes
1,7.0.0.152,49153,5.0.0.2,50000,1.00904,500.437,499.428,812.536,811.963,811.963,7.80851,0.661001,0.0705131,99.9295,48218,48184,50725336,50689568
2,7.0.0.16,49153,1.0.0.2,9,1.013,6.00406,4.99106,1185.9,1174.26,1174.26,34.9452,1.15852,0.511247,99.4888,978,973,739860,732600
3,7.0.0.153,49153,5.0.0.2,50000,1.01706,123.372,122.355,3788.81,914.549,914.549,12.2742,1.65966,75.8619,24.1381,55083,13296,57947316,13987392
4,7.0.0.156,49153,5.0.0.2,50000,1.01899,500.43,499.411,518.868,518.767,518.767,7.4751,0.545755,0.0194868,99.9805,30790,30784,32391080,32384768
5,7.0.0.157,49153,5.0.0.2,50000,1.02767,107.107,106.079,2541.55,535.603,535.603,7.68902,0.681597,78.9262,21.0738,32035,6751,33700820,7102052
6,7.0.0.154,49153,5.0.0.2,50000,1.02839,500.437,499.408,934.289,934.272,934.272,7.35383,0.49425,0.00180372,99.9982,55441,55440,58323932,58322880
8,7.0.0.155,49153,5.0.0.2,50000,1.04063,179.523,178.482,1576.89,562.018,562.018,7.79648,0.76941,64.3592,35.6408,33442,11919,35180984,12538788
9,7.0.0.86,49153,1.0.0.2,9,1.042,10.1296,9.08757,689.529,633.15,633.15,19.9225,2.86628,4.66733,95.3327,1007,960,783268,719224
11,7.0.0.37,49153,1.0.0.2,9,1.08,6.00406,4.92406,1216.36,1190.41,1190.41,13.0142,1.59667,1.11336,98.8866,988,977,748680,732708
12,7.0.0.12,49153,1.0.0.2,9,1.093,1.41053,0.317529,778.31,56.4358,56.4358,14.8358,4.32548,92.7609,7.23906,594,43,30892,2240
15,7.0.0.126,49153,1.0.0.2,9,1.174,6.00406,4.83006,1271.38,1213.66,1213.66,16.877,2.34383,2.39521,97.6048,1002,978,767608,732760
16,7.0.0.103,49153,1.0.0.2,9,1.178,6.00406,4.82606,1214.84,1214.84,1214.84,21.7743,1.15339,0,100,978,978,732860,732860
19,7.0.0.23,49153,1.0.0.2,9,6.024,22.9931,16.9691,217.595,177.867,177.867,14.3399,5.25377,7.64249,92.3575,772,713,461548,377280
21,7.0.0.69,49153,1.0.0.2,9,6.053,11.0041,4.95106,1183.16,1183.16,1183.16,26.9467,0.936387,0,100,966,966,732236,732236
23,7.0.0.31,49153,1.0.0.2,9,6.109,7.76253,1.65353,218.645,66.4373,66.4373,41.3394,5.63405,69.6203,30.3797,869,264,45192,13732
25,7.0.0.88,49153,1.0.0.2,9,6.142,11.0041,4.86206,1205.51,1205.51,1205.51,15.0936,1.22278,0,100,976,976,732656,732656
27,7.0.0.18,49153,1.0.0.2,9,6.156,8.34306,2.18706,180.523,71.9137,71.9137,25.8408,3.42111,60.1686,39.8314,949,378,49352,19660
29,7.0.0.123,49153,1.0.0.2,9,6.181,11.0041,4.82306,1215.08,1215.08,1215.08,15.0973,1.17286,0,100,974,974,732552,732552
31,7.0.0.98,49153,1.0.0.2,9,11.099,16.2061,5.10709,219.898,185.486,185.486,27.0264,3.10981,7.42049,92.5795,566,524,140380,118412
32,7.0.0.13,49153,1.0.0.2,9,11.108,17.2806,6.17257,982.521,950.529,950.529,12.427,1.84164,1.6815,98.3185,1011,994,758084,733400
33,7.0.0.126,49154,1.0.0.2,9,11.116,16.2036,5.08758,359.395,336.563,336.563,12.9985,1.37713,1.59744,98.4026,626,616,228556,214036
36,7.0.0.113,49153,1.0.0.2,9,11.122,16.0857,4.96368,92.3057,80.6047,80.6047,9.82144,1.31456,0.982318,99.0177,509,504,57272,50012
39,7.0.0.44,49153,1.0.0.2,9,11.138,16.2361,5.09806,112.821,82.7106,82.7106,16.9035,4.0176,3.64683,96.3532,521,502,71896,52708
