round,ndi0_count,ndi1_count
1,333,5684
2,429,6114
3,279,3504
4,575,7055
5,223,6741
6,241,6215
7,339,5520
8,298,3601
9,229,5828
10,259,4672
11,396,4919
12,34,4931
13,92,6982
14,698,4991
15,257,7631
16,386,3336
17,168,6054
18,173,3564
19,224,5917
20,236,2212
21,411,3815
22,423,4455
23,348,5894
24,302,3518
25,324,4402
26,193,3543
27,102,5118
28,387,5754
29,572,3710
30,234,4111
31,183,2818
32,191,5260
33,845,6153
34,497,3792
35,276,3651
36,293,5340
37,175,2304
38,223,5337
39,355,5901
40,432,5356
41,344,5918
42,163,3377
43,91,2477
44,286,2333
45,19,2349
46,1,3893
47,151,3506
48,112,6646
49,256,6087
50,498,4209
51,325,4251
52,320,5025
53,159,3690
54,72,4611
55,351,4500
56,106,2072
57,257,3524
58,400,3390
59,102,7898
60,124,5208
61,174,3287
62,80,3215
63,86,2204
64,195,3294
65,205,4847
66,513,4038
67,443,3206
68,181,5020
69,10,1648
70,95,1964
71,411,5384
72,114,3640
73,76,6120
74,290,4702
75,172,5212
76,452,4397
77,155,3153
78,128,2712
79,419,3482
80,410,5578
81,42,1912
82,181,3675
83,265,7190
84,141,5827
85,0,2872
86,142,4853
87,382,4301
88,200,3359
89,80,2573
90,141,4413
91,383,3543
92,293,5097
93,154,5585
94,164,2334
95,181,4413
96,0,1636
97,48,1604
98,229,4439
99,0,2249
100,148,5102
