round,total_ul_rbg
1,46036
2,43747
3,10090
4,49429
5,38938
6,40903
7,43597
8,29335
9,45299
10,39037
11,27210
12,40031
13,42797
14,49535
15,52281
16,26950
17,38149
18,36847
19,49561
20,24277
21,26887
22,38836
23,52752
24,33774
25,38471
26,44084
27,49625
28,48968
29,35435
30,43448
31,32793
32,53051
33,55382
34,53713
35,37128
36,53949
37,34524
38,46300
39,50675
40,54538
41,59617
42,45207
43,20711
44,25164
45,27433
46,37047
47,43600
48,50949
49,57843
50,50273
51,44587
52,38473
53,41714
54,41774
55,44564
56,24124
57,50541
58,38810
59,54383
60,60250
61,43920
62,41541
63,28325
64,39349
65,52600
66,47685
67,34346
68,48545
69,28403
70,31689
71,50568
72,38043
73,57392
74,56608
75,56881
76,52128
77,40188
78,37872
79,41849
80,48182
81,30337
82,46439
83,58677
84,51086
85,27372
86,52720
87,55749
88,39527
89,29069
90,43246
91,46269
92,59671
93,45426
94,31234
95,49687
96,27008
97,24614
98,44528
99,26851
100,61394
