round,count
1,6017
2,6543
3,3783
4,7630
5,6964
6,6456
7,5859
8,3899
9,6057
10,4931
11,5315
12,4965
13,7074
14,5689
15,7888
16,3722
17,6222
18,3737
19,6141
20,2448
21,4226
22,4878
23,6242
24,3820
25,4726
26,3736
27,5220
28,6141
29,4282
30,4345
31,3001
32,5451
33,6998
34,4289
35,3927
36,5633
37,2479
38,5560
39,6256
40,5788
41,6262
42,3540
43,2568
44,2619
45,2368
46,3894
47,3657
48,6758
49,6343
50,4707
51,4576
52,5345
53,3849
54,4683
55,4851
56,2178
57,3781
58,3790
59,8000
60,5332
61,3461
62,3295
63,2290
64,3489
65,5052
66,4551
67,3649
68,5201
69,1658
70,2059
71,5795
72,3754
73,6196
74,4992
75,5384
76,4849
77,3308
78,2840
79,3901
80,5988
81,1954
82,3856
83,7455
84,5968
85,2872
86,4995
87,4683
88,3559
89,2653
90,4554
91,3926
92,5390
93,5739
94,2498
95,4594
96,1636
97,1652
98,4668
99,2249
100,5250
