round,total_tbSize
1,4338511
2,4131751
3,1084486
4,4801910
5,3664357
6,3735260
7,4293646
8,2791114
9,4306013
10,3715629
11,2541868
12,3632171
13,3874688
14,5279661
15,4995161
16,2650054
17,3492679
18,3484063
19,4557200
20,2513839
21,2702705
22,3815008
23,4995717
24,3373675
25,3599281
26,4183170
27,4597690
28,4676605
29,3380718
30,4179314
31,3080741
32,4919402
33,5842631
34,5510316
35,3742029
36,5211946
37,3299783
38,4386212
39,4914794
40,5408139
41,5731823
42,3782663
43,1939681
44,2410827
45,2482096
46,3300342
47,4047082
48,4624396
49,5491375
50,5030154
51,4143922
52,3716548
53,3873209
54,3860198
55,4201472
56,2263221
57,4857053
58,3958414
59,4965028
60,5527996
61,4253270
62,3796304
63,2617647
64,3780193
65,4874374
66,4738841
67,3571876
68,4544525
69,2552258
70,2994283
71,4946123
72,3494673
73,5206365
74,5497614
75,5299096
76,5340803
77,3711080
78,3565568
79,4092920
80,4638362
81,2793770
82,4399669
83,5422124
84,4781242
85,2445937
86,4878288
87,5533711
88,3674663
89,2741509
90,4022955
91,4611779
92,5592421
93,4218041
94,3027738
95,4614166
96,2408391
97,2239036
98,4250950
99,2396572
100,5647573
