round,total_ul_rbg
1,54733
2,55023
3,55415
4,46916
5,41138
6,42842
7,40889
8,42727
9,42111
10,41814
11,41772
12,40069
13,39612
14,40784
15,42765
16,41664
17,41888
18,38963
19,41862
20,39859
21,32164
22,31630
23,34255
24,32330
25,33105
26,31849
27,32426
28,32615
29,33828
30,33028
31,34686
32,34459
33,33535
34,31340
35,32484
36,32675
37,33751
38,31833
39,32479
40,32185
41,31367
42,32878
43,32587
44,25470
45,25062
46,25564
47,24589
48,23768
49,23724
50,24168
51,23239
52,25992
53,25686
54,26361
55,24295
56,24995
57,23568
58,23700
59,25095
60,24730
61,25193
62,25323
63,25428
64,24272
65,23637
66,23444
67,24395
68,23614
69,25263
70,26864
71,27645
72,23803
73,23394
74,23917
75,26451
76,23861
77,24464
78,25944
79,23809
80,25137
81,25868
82,24096
83,24100
84,23912
85,25090
86,24645
87,24206
88,24410
89,25066
90,25088
91,23442
92,26387
93,25067
94,24339
95,24220
96,25437
97,24148
98,24154
99,24660
100,24588
