round,ids
1,125;128;56
2,71;10;140
4,47;15;54
5,4
6,65;122
7,75
8,65
9,131;52
10,103;135;58;54
11,145;135;127
12,60;136
13,116;75;55;71
14,75;58;14;42
15,51;35;14
16,118;14
17,134;128;44
18,65;55
19,2;47;73
20,119;71;149;14
21,111;90
22,52;8;84
23,124;134;54;103;120
24,68
25,148;91
26,68;34;51;135
27,68;128
28,76;127;135
29,61;100;46;136
30,128;50;105
31,119;139;2;15;145;8
32,50;70
33,117;94;68
34,56;27;139
35,6;121;128;129
36,73;2;147
37,70;12;128
38,139;91
39,75;115;103;14
40,51;83;33;61
41,72;37
42,26;87;81;133
43,122;125;65;97
44,130;147;100;110;15
45,149;139;135;122
46,47;55;115;136
47,4;118;3;90;135
48,134;76;103
49,3;66;72
50,143;90;55;113
51,42;117;148;76;50;135
52,129;62;76;101;49
53,131;101;133;56
54,60;143;55;99
55,2;127;62;132;35
56,91;134;37
57,127;96;15
58,96;14
59,61;18;62;45
60,81;91;26;73;8
61,121;74;7;139;111
62,55;118;119;122
63,34;135;122;22
64,92;26;80
65,7;58;75;74
66,71;76;10
67,149;80
68,70;81;18
69,2;121
70,94;135;3;27;70
71,130;27;73
72,121;91;98;142
73,51;147;148
74,103;135
75,80;131;66
76,135;46
77,100;124;62;79
78,46;124;90;137;68
79,55;83
80,139;148;12
81,132;120
82,76;136;19
83,74;85;68;2
84,55;74;125
85,133;136;52;37
86,3;85;120
87,132;93;61;26;44
88,47;34;96;134;76
89,80;115;137;66
90,44;90;116;34;111
91,122;125;87;27;149;66
92,54;68;121;26;142
93,101;68;15
94,2;92;81;80;149
95,75;89;37
96,111;35;18;45
97,45;93;128;140
98,4;96;87
99,64;44
100,149;135;125;91
