round,total_numsym
1,64674
2,64673
3,67209
4,114587
5,100085
6,97296
7,55753
8,75687
9,68747
10,86048
11,127436
12,54275
13,74999
14,77961
15,85735
16,71623
17,63589
18,32202
19,95207
20,94439
21,52736
22,49887
23,92835
24,48966
25,57003
26,73088
27,78182
28,68391
29,76172
30,84879
31,116581
32,81875
33,99156
34,50394
35,64351
36,52646
37,72520
38,36427
39,57433
40,78144
41,21763
42,77071
43,70576
44,95459
45,69519
46,66990
47,84573
48,42227
49,38460
50,63525
51,100965
52,99147
53,69606
54,73636
55,102836
56,36780
57,29996
58,18825
59,83198
60,76614
61,85709
62,60386
63,69088
64,62968
65,63481
66,49878
67,42235
68,34831
69,51325
70,90417
71,92533
72,55514
73,50999
74,28491
75,90587
76,34852
77,54623
78,95989
79,40338
80,58364
81,68558
82,33194
83,66454
84,41644
85,64542
86,50614
87,100763
88,76922
89,78027
90,81791
91,116735
92,102310
93,68861
94,100191
95,43066
96,80701
97,43552
98,55223
99,27359
100,72368
