round,ndi0_count,ndi1_count
1,258,5356
2,327,5309
3,657,5373
4,563,9584
5,420,8401
6,549,7898
7,226,4569
8,605,6118
9,356,5635
10,298,7089
11,209,10749
12,423,4240
13,50,6343
14,376,6382
15,617,6862
16,533,5727
17,264,5196
18,162,2611
19,417,7829
20,504,7745
21,338,4235
22,244,4063
23,486,7649
24,490,3804
25,402,4534
26,230,6052
27,662,6396
28,476,5472
29,296,6220
30,411,6983
31,419,9705
32,772,6447
33,248,8342
34,364,3985
35,201,5319
36,291,4248
37,436,5851
38,220,2895
39,217,4730
40,316,6416
41,213,1645
42,257,6419
43,322,5790
44,524,7817
45,274,5778
46,171,5619
47,53,7192
48,27,3568
49,132,3148
50,270,5186
51,274,8496
52,468,8104
53,239,5805
54,451,6022
55,19,8736
56,245,2931
57,105,2456
58,32,1595
59,190,6962
60,241,6391
61,198,7226
62,186,5034
63,323,5668
64,136,5267
65,137,5330
66,174,4080
67,387,3308
68,37,2928
69,422,4025
70,614,7291
71,536,7497
72,350,4459
73,80,4289
74,118,2309
75,580,7635
76,240,2746
77,145,4531
78,350,8147
79,262,3190
80,177,4909
81,476,5554
82,190,2644
83,5,5664
84,0,3545
85,84,5448
86,379,4015
87,115,8553
88,0,6546
89,344,6439
90,60,6969
91,73,9902
92,522,8495
93,452,5525
94,218,8402
95,259,3430
96,375,6705
97,97,3627
98,235,4498
99,329,2069
100,199,6042
