round,total_ul_rbg
1,33695
2,34882
3,25078
4,54973
5,38951
6,53325
7,23750
8,41708
9,44416
10,55158
11,53942
12,36467
13,37190
14,44710
15,44445
16,34876
17,42122
18,21249
19,49201
20,56982
21,35185
22,34680
23,56806
24,33160
25,37421
26,42541
27,38786
28,44833
29,48528
30,41781
31,63186
32,40340
33,51133
34,34605
35,41872
36,37549
37,42269
38,25144
39,39423
40,41964
41,23165
42,45364
43,47277
44,55166
45,42732
46,44428
47,47198
48,27349
49,28546
50,45315
51,59889
52,54521
53,49533
54,54336
55,46458
56,32781
57,32790
58,19495
59,40060
60,53772
61,55390
62,40499
63,47140
64,39249
65,40761
66,41095
67,31396
68,30145
69,28845
70,63061
71,47825
72,47058
73,33420
74,31386
75,53583
76,35801
77,42499
78,53890
79,31426
80,36804
81,42842
82,31901
83,37257
84,27475
85,38762
86,45291
87,47254
88,46125
89,49595
90,49808
91,59048
92,51662
93,42839
94,58821
95,39876
96,39205
97,39724
98,35460
99,27764
100,39748
