round,total_numsym
1,51185
2,86663
3,58894
4,113344
5,107735
6,96174
7,76919
8,63400
9,70266
10,80554
11,71208
12,61867
13,81683
14,68292
15,31055
16,73375
17,46840
18,65908
19,74726
20,26991
21,58118
22,81652
23,42479
24,54042
25,43188
26,25616
27,40893
28,54301
29,49625
30,58744
31,60938
32,65119
33,65468
34,48982
35,63893
36,40773
37,21132
38,40712
39,22360
40,35698
41,48882
42,36682
43,32756
44,27144
45,25239
46,25928
47,44359
48,64702
49,26475
50,38819
51,26394
52,24122
53,26214
54,65024
55,20727
56,45515
57,25196
58,16156
59,48945
60,30013
61,36197
62,26836
63,40780
64,49001
65,40623
66,47916
67,41065
68,66656
69,51950
70,54991
71,57908
72,58593
73,38591
74,44605
75,11146
76,11192
77,33072
78,51013
79,36935
80,51046
81,65067
82,51609
83,55741
84,22614
85,36319
86,39259
87,42780
88,31584
89,20466
90,54853
91,62492
92,53724
93,47940
94,56131
95,34565
96,58379
97,57117
98,33891
99,73328
100,29504
