round,ids
1,4.31603
2,4.87503;4.92453;4.92957
3,4.81107
4,4.32857;4.33457;4.34657;4.62007;4.79307
5,3.67406;3.94407;3.99457;4.16207
6,3.42253;3.42807;3.43703;3.53807;3.98357
7,3.87907;3.99406;4.28657;4.28707
8,4.57667
9,4.12957;4.93557
10,3.67857;3.76953;3.96903;3.99057
11,4.21957;4.22657
12,3.76007;3.94857;4.35703
13,4.36157;4.45956;4.71506
14,3.20106;3.73907;3.86207;3.87007
15,2.73106
16,4.09353;4.28453;4.31453
17,2.40757;2.61007;4.88906
18,2.70353;3.11253;3.14403;4.44157
19,2.64957;3.88857;4.06307;4.95957
20,1.99807;2.43257
21,3.06207;3.62457
22,3.77857;3.91407;4.04007;4.04207
23,4.72557
24,3.23057;3.35407
25,2.36303;3.46407;3.83107
26,2.57553
27,2.84853;2.95603
28,2.65953;3.75907;3.82757;4.74953
29,1.84657;3.02153;3.29907;3.44707
30,2.54257;2.78607;2.78707;3.04853
31,3.96257;4.13257
32,2.63257;3.07007;3.27403;3.77408
33,3.31856;3.43407;3.66857;3.82107
34,2.42957;3.41407;3.70507;3.96757
35,2.06107;3.36057;3.54553;3.60707
36,2.12757;2.27007;2.27007
37,1.92057;1.99957
38,2.06707;2.16957;2.65256
39,2.41507
40,2.31607;2.60707
41,2.16557;2.55253
42,2.51107;2.89903
43,1.92957;2.15253
44,1.87117;4.16257
45,1.57157;1.71857;2.77557
46,1.95707;2.01107
47,2.78007;3.02107;3.12607
48,2.84707;3.16757;3.60157;4.01957
49,2.30907;2.51753
50,2.03957;2.36107;2.54757
51,1.65107;2.02853;2.21707
52,1.17707;2.06503;2.65657
53,1.58807;1.75107
54,2.88307;3.00353;3.41457;3.74007;4.74357
55,1.14603;1.63807;1.76707
56,2.09257;2.60957;2.67507;2.93707
57,1.86407;3.17557
58,1.08453;3.30707
59,2.59557;2.99757;3.00057
60,1.22903;2.04407;2.24057
61,1.27603;1.97357;2.33703;2.34007
62,1.68707;1.94407;2.33857
63,3.18207;4.43807
64,2.15057;2.54707;2.62757
65,1.90953;2.88807
66,2.26003;2.35507;4.35657
67,1.92807;2.10007;2.54057
68,1.27257;3.45553;3.51807;3.87053;3.87053
69,1.45656;2.31807;2.70807;2.70857;3.95553
70,2.66856;2.68157;2.78953;3.48307
71,1.85807;3.26253
72,3.75507
73,1.68807;2.14257;2.44853;4.18757
74,2.00857;2.31453;4.50557;4.88157
75,1.12307;1.36107
76,1.10407;1.33057
77,2.32557;2.40107;4.59307
78,2.37707;2.46007;3.14407;3.45403
79,1.41457;2.33857;2.47557;4.70657
80,2.11553;2.46407;4.03507
81,2.22607;2.53557;2.71457;3.23357;3.23406
82,1.53157;2.97153;3.34607;3.34607
83,2.18957;2.64403;3.24107;3.33007
84,1.07507;1.60107;2.34707
85,1.69703;2.31907;3.66057
86,1.26857;2.31757;2.50407
87,2.11203;3.26953;3.47403
88,1.21303;2.25107;2.40957
89,1.78257;1.88357
90,2.18506;2.41953;2.95857;3.11707;3.61907
91,2.43157;3.58007;3.70057;4.09907;4.14357
92,2.01707;2.24507;2.47557;2.72253;2.72557
93,2.27306;2.78706;2.92407;3.72407
94,1.63007;2.79407;3.01657;3.01903
95,2.27406;3.30807
96,1.60757;2.58707;3.12007;3.25807;3.59056
97,2.40607;2.78307;2.78853;2.82107;4.43653
98,1.39707;1.88907;4.06457
99,2.35503;2.93557;3.02657;3.12657;4.42157
100,1.78807;1.79107
