round,total_tbSize
1,2641220
2,3651015
3,3095338
4,4907464
5,5496407
6,4608338
7,3684540
8,3587484
9,3826656
10,4457853
11,4314338
12,4880347
13,5014088
14,4682850
15,1850274
16,4618754
17,4355024
18,4472990
19,5483760
20,2562701
21,4820766
22,4271729
23,3223764
24,3679707
25,4714302
26,1764047
27,2908018
28,4602158
29,3863734
30,3491417
31,3853967
32,5054419
33,4785615
34,4178078
35,4957405
36,3107100
37,1690083
38,3481864
39,1395534
40,2853585
41,4655888
42,2889699
43,2764746
44,3269185
45,2995788
46,2011203
47,3585682
48,4463470
49,2256134
50,3711842
51,2763429
52,2836365
53,2936870
54,5733964
55,2449646
56,3759289
57,2251604
58,2251045
59,3328397
60,3270544
61,3212084
62,2884931
63,3070048
64,4349579
65,4290236
66,4808552
67,3902971
68,4679782
69,4579962
70,4034282
71,4387099
72,4500997
73,4155081
74,4431594
75,1600560
76,1604518
77,3542749
78,4013211
79,4101864
80,4754804
81,4885735
82,3693862
83,5159826
84,2897744
85,3486607
86,3968324
87,3223421
88,3365048
89,1765741
90,5150364
91,5113044
92,4077009
93,4341322
94,4364811
95,2004115
96,4630035
97,5162990
98,3610225
99,5918644
100,2472890
