round,total_ul_rbg
1,51820
2,50914
3,42499
4,32627
5,32510
6,31110
7,32670
8,33059
9,34153
10,26146
11,27250
12,26872
13,27473
14,26075
15,25643
16,26297
17,25557
18,26350
19,26296
20,25113
21,26994
22,25909
23,26424
24,26064
25,26387
26,26432
27,25810
28,25865
29,25366
30,24606
31,26421
32,26961
33,25722
34,25299
35,20914
36,16884
37,17106
38,17676
39,17384
40,17656
41,17830
42,17505
43,17114
44,17452
45,17396
46,17080
47,17065
48,18697
49,17386
50,17901
51,17417
52,17025
53,16816
54,18745
55,17034
56,17435
57,17076
58,16716
59,18122
60,17441
61,17183
62,17403
63,17603
64,17448
65,17939
66,18494
67,17423
68,17599
69,16913
70,17672
71,18046
72,18981
73,17796
74,17997
75,16839
76,16572
77,17479
78,17499
79,17283
80,17969
81,17190
82,17451
83,18449
84,16652
85,17877
86,17310
87,17662
88,17285
89,16614
90,17434
91,17207
92,17577
93,17374
94,17244
95,17018
96,17381
97,17953
98,18054
99,18156
100,17103
