round,count
1,3673
2,5761
3,4662
4,8480
5,6855
6,7089
7,5341
8,4710
9,4217
10,6337
11,2908
12,4813
13,5176
14,6013
15,2056
16,6459
17,3060
18,6662
19,5774
20,3319
21,3608
22,4207
23,3275
24,4546
25,1922
26,1360
27,1619
28,2747
29,5417
30,2984
31,4731
32,2426
33,3022
34,3744
35,7148
36,3391
37,3251
38,3679
39,526
40,2351
41,2912
42,3127
43,2870
44,3103
45,3950
46,2335
47,5355
48,6408
49,1031
50,2680
51,2410
52,4751
53,4028
54,3762
55,3637
56,4257
57,1988
58,1625
59,3086
60,3026
61,3702
62,2430
63,1952
64,3878
65,2605
66,4861
67,3952
68,5886
69,5580
70,3263
71,3629
72,2789
73,497
74,1833
75,2387
76,2307
77,985
78,3761
79,2983
80,2439
81,5556
82,2467
83,3156
84,3186
85,4006
86,3114
87,4361
88,1989
89,2210
90,5521
91,3283
92,5461
93,3920
94,4037
95,3689
96,3899
97,4173
98,4083
99,3705
100,3383
