round,total_ul_rbg
1,32948
2,36897
3,30626
4,53165
5,43802
6,47457
7,37674
8,47446
9,30260
10,56131
11,18689
12,39514
13,38358
14,42478
15,17010
16,50795
17,25467
18,41023
19,45578
20,30602
21,29925
22,31402
23,24447
24,38025
25,18095
26,12485
27,22963
28,26005
29,38429
30,28045
31,39807
32,29756
33,31693
34,42166
35,50437
36,30770
37,33011
38,38586
39,9266
40,24588
41,36948
42,29989
43,35511
44,30899
45,40518
46,21689
47,42905
48,60944
49,18407
50,26755
51,30310
52,43500
53,41881
54,43299
55,37110
56,48676
57,24529
58,23466
59,30601
60,34169
61,37037
62,29753
63,17272
64,39146
65,30487
66,46838
67,39423
68,59488
69,52772
70,34387
71,39924
72,25556
73,9046
74,21678
75,28053
76,31984
77,14376
78,38323
79,30048
80,30226
81,45785
82,33216
83,35158
84,37794
85,30251
86,35368
87,43976
88,30503
89,26894
90,51042
91,37681
92,45604
93,38342
94,38867
95,34684
96,40272
97,29188
98,45870
99,40808
100,38411
