round,total_numsym
1,42490
2,65491
3,53088
4,98093
5,78614
6,81743
7,62045
8,54329
9,48491
10,73271
11,33800
12,54801
13,60094
14,69647
15,23888
16,74142
17,35263
18,75923
19,67107
20,38210
21,42128
22,49094
23,37541
24,52480
25,22211
26,15904
27,18862
28,31675
29,62494
30,34895
31,55048
32,28372
33,35258
34,43710
35,82319
36,39747
37,37798
38,42933
39,6194
40,27143
41,33893
42,36378
43,33570
44,36252
45,46180
46,27247
47,61970
48,73972
49,12120
50,31354
51,28139
52,55139
53,46496
54,43788
55,42377
56,49338
57,23272
58,19016
59,36090
60,35395
61,42819
62,28289
63,22645
64,45267
65,30376
66,55897
67,46022
68,69138
69,65410
70,38160
71,42280
72,32387
73,5848
74,21472
75,27959
76,27016
77,11547
78,43843
79,34765
80,28581
81,65226
82,28813
83,36794
84,37091
85,45928
86,36453
87,50714
88,23392
89,25126
90,64268
91,38301
92,64212
93,45832
94,46532
95,42905
96,45603
97,48398
98,47525
99,43132
100,39341
