round,ndi0_count,ndi1_count
1,359,3314
2,342,5419
3,576,4086
4,283,8197
5,252,6603
6,98,6991
7,102,5239
8,393,4317
9,460,3757
10,425,5912
11,42,2866
12,590,4223
13,191,4985
14,191,5822
15,285,1771
16,364,6095
17,316,2744
18,496,6166
19,320,5454
20,509,2810
21,230,3378
22,169,4038
23,448,2827
24,380,4166
25,301,1621
26,154,1206
27,118,1501
28,230,2517
29,414,5003
30,103,2881
31,378,4353
32,109,2317
33,119,2903
34,199,3545
35,326,6822
36,162,3229
37,410,2841
38,332,3347
39,1,525
40,333,2018
41,428,2484
42,393,2734
43,325,2545
44,420,2683
45,176,3774
46,171,2164
47,291,5064
48,592,5816
49,6,1025
50,205,2475
51,212,2198
52,538,4213
53,503,3525
54,371,3391
55,330,3307
56,448,3809
57,303,1685
58,261,1364
59,106,2980
60,255,2771
61,306,3396
62,229,2201
63,399,1553
64,249,3629
65,445,2160
66,513,4348
67,289,3663
68,225,5661
69,250,5330
70,229,3034
71,339,3290
72,436,2353
73,0,497
74,174,1659
75,289,2098
76,250,2057
77,90,895
78,180,3581
79,197,2786
80,330,2109
81,67,5489
82,246,2221
83,241,2915
84,298,2888
85,486,3520
86,125,2989
87,383,3978
88,39,1950
89,380,1830
90,271,5250
91,125,3158
92,0,5461
93,99,3821
94,233,3804
95,473,3216
96,112,3787
97,211,3962
98,302,3781
99,308,3397
100,480,2903
