round,ids
1,134;10
2,104;125
3,42
4,90;66;94;96
5,138;93;67
6,122;65;27;45;36
7,143;147;52;80
8,64;6;104
9,49
10,93;145;60;102
11,12;9
12,93;64
13,139;4;110;111
14,18;46;96;6
15,76
16,18;49;130;111
17,76;67
18,26;52;27
19,34;121;33;6
20,72;32
21,7;80;115
22,130;76;10
23,70
24,96;104;111
25,101
26,111
27,12;134
28,123;9
29,52;147;13
30,9;131;44
31,12;144;8
32,87;144;36
33,87;124;4
34,42;145;121;150
35,12;90;65;83
36,95;147;13
37,147;93
38,13;65;70
39,96
40,96
41,137;84
42,143;36
43,20;105;109
44,36
45,94;93;36;50
46,3;69
47,110;70;12
48,139;69;61;95
49,18;90
50,71;68
51,80;62
52,51;134;70;114
53,10;46;79
54,137;13;56
55,90;121;69
56,10;90;66;150
57,72;55
58,144
59,138;128;76
60,72;18;26
61,62;52;9
62,104;10;43
64,110;116;145
65,43;20
66,67;45;111;105
67,49;52;62
68,7;124;147;60;76
69,76;65;137;3
70,143;3;105
71,26;87;150
72,83;56
73,125
74,72;12
75,76;9
76,75;10;77
77,147
78,122;44;28;80
79,128;93;20
80,80
81,125;17;87;42;18
82,90;93
83,110;101;49
84,43;96;26
85,65;17
86,44;46;52
87,80;143;125
88,121;122;44
89,110;114
90,139;70;143;100;128
91,12;50;134;75
92,45;134;76;72;9
93,72;42;67;36
94,87;80;128;17
95,3;51
96,94;81;110;9
97,49;104;130
98,96;87;50;36
99,125;113;126;52
100,10;145
