round,total_ul_rbg
1,53759
2,55221
3,57200
4,54706
5,56265
6,50651
7,46343
8,48248
9,46794
10,48572
11,45312
12,50000
13,45660
14,45920
15,44192
16,46730
17,46145
18,47156
19,46464
20,46142
21,45889
22,44453
23,46014
24,47028
25,44801
26,44246
27,43968
28,45095
29,46794
30,44151
31,47301
32,45363
33,40291
34,35328
35,36015
36,34777
37,33297
38,26195
39,24617
40,26138
41,25653
42,25653
43,25932
44,25462
45,25787
46,26097
47,25847
48,28394
49,24289
50,25457
51,25499
52,27443
53,26826
54,26217
55,26383
56,25793
57,26000
58,24690
59,25759
60,26390
61,26652
62,26528
63,25439
64,26024
65,26929
66,27307
67,25993
68,26012
69,26589
70,25738
71,25170
72,26105
73,24632
74,25468
75,25046
76,25071
77,24947
78,25950
79,25567
80,25578
81,25788
82,25302
83,25732
84,25666
85,26531
86,25403
87,26347
88,24832
89,25478
90,27254
91,25503
92,26488
93,24954
94,26000
95,27477
96,25237
97,26403
98,26688
99,26083
100,26564
