flow_id,src,sport,dst,dport,start,end,active_s,tx_kbit_s,rx_kbit_s,throughput_kbit_s,mean_delay_ms,mean_jitter_ms,packet_loss_pct,delivery_ratio_pct,tx_pkts,rx_pkts,tx_bytes,rx_bytes
244,7.0.0.81,49154,1.0.0.2,9,101.082,106.006,4.92356,1192.98,1190.62,1190.62,16.8204,1.70878,0.102145,99.8979,979,978,734212,732760
245,7.0.0.24,49155,1.0.0.2,9,101.082,102.967,1.88453,109.065,48.8016,48.8016,5.86842,1.75239,55.2632,44.7368,494,221,25692,11496
246,7.0.0.8,49153,1.0.0.2,9,101.091,106.006,4.91456,1193.04,1193.04,1193.04,15.3274,1.53474,0,100,979,979,732912,732912
249,7.0.0.116,49154,1.0.0.2,9,101.141,106.004,4.86306,1264.62,1200.13,1200.13,22.946,2.9395,2.8632,97.1368,943,916,768740,729536
252,7.0.0.103,49154,1.0.0.2,9,106.017,106.878,0.860529,454.121,233.531,233.531,5.38465,1.45905,5.10806,94.8919,509,483,48848,25120
253,7.0.0.131,49154,1.0.0.2,9,106.023,111.006,4.98256,1176.6,1176.6,1176.6,10.2992,1.12761,0,100,977,977,732808,732808
256,7.0.0.54,49153,1.0.0.2,9,106.058,110.837,4.77853,75.9999,48.5639,48.5639,22.2534,3.82285,3.83065,96.1694,496,477,45396,29008
257,7.0.0.28,49155,1.0.0.2,9,106.076,109.892,3.81603,102.758,51.4629,51.4629,4.71532,0.413559,7.8125,92.1875,512,472,49016,24548
260,7.0.0.11,49154,1.0.0.2,9,106.092,111.004,4.91203,1193.33,1193.33,1193.33,11.1368,0.620819,0,100,977,977,732708,732708
262,7.0.0.77,49155,1.0.0.2,9,106.105,111.004,4.89903,1196.75,1196.75,1196.75,10.5392,0.745276,0,100,980,980,732864,732864
264,7.0.0.17,49154,1.0.0.2,9,111.003,161.368,50.3645,136.625,114.945,114.945,17.1395,6.15201,10.4561,89.5439,899,805,860132,723644
266,7.0.0.110,49153,1.0.0.2,9,111.034,115.853,4.81907,1275.23,1157.04,1157.04,32.4292,3.42514,5.06073,94.9393,988,938,768180,696980
267,7.0.0.121,49154,1.0.0.2,9,111.038,112.374,1.33556,175.075,50.795,50.795,23.8562,3.97219,70.9964,29.0036,562,163,29228,8480
269,7.0.0.3,49153,1.0.0.2,9,111.049,112.234,1.18456,176.673,38.6572,38.6572,13.2556,2.68288,78.1312,21.8688,503,110,26160,5724
272,7.0.0.71,49153,1.0.0.2,9,111.107,116.004,4.89706,1239.42,1196.72,1196.72,37.9872,1.88452,1.81452,98.1855,992,974,758688,732552
274,7.0.0.58,49154,1.0.0.2,9,111.164,0,0,0,0,0,0,0,100,0,3,0,164,0
